Rank,Country/Territory,Name,Date,Points Accumulated
1,CHN,He Ji Ting,2024-09-10,"75,850"
2,TPE,Lee Jhe-Huei,2024-09-10,"67,350"
3,DEN,Kim Astrup,2024-09-10,"64,000"
4,KOR,Kang Min Hyuk,2024-09-10,"56,300"
5,INA,Fajar Alfian,2024-09-10,"55,520"
6,MAS,Choong Hon Jian,2024-09-10,"54,600"
7,MAS,Goh Sze Fei,2024-09-10,"50,660"
8,MAS,Man Wei Chong,2024-09-10,"48,260"
9,THA,Supak Jomkoh,2024-09-10,"47,660"
10,IND,Satwiksairaj Rankireddy,2024-09-10,"47,210"
11,MAS,Aaron Chia,2024-09-10,"46,440"
12,INA,Sabar Karyaman Gutama,2024-09-10,"46,040"
13,JPN,Takuro Hoki,2024-09-10,"45,560"
14,INA,Muhammad Shohibul Fikri,2024-09-10,"45,330"
15,CHN,Liang Wei Keng,2024-09-10,"43,490"
16,DEN,Rasmus Kjær,2024-09-10,"43,060"
17,TPE,Lin Bing-Wei,2024-09-10,"40,810"
18,JPN,Kenya Mitsuhashi,2024-09-10,"40,540"
19,CHN,Chen Bo Yang,2024-09-10,"39,580"
20,INA,Leo Rolly Carnando,2024-09-10,"37,850"
21,DEN,Daniel Lundgaard,2024-09-10,"37,800"
22,TPE,Fang-Chih Lee,2024-09-10,"37,690"
23,ENG,Ben Lane,2024-09-10,"35,920"
24,TPE,Lee Yang,2024-09-10,"35,900"
25,TPE,Lu Ching Yao,2024-09-10,"35,790"
26,THA,Peeratchai Sukphun,2024-09-10,"32,940"
27,FRA,Christo Popov,2024-09-10,"32,540"
28,DEN,Andreas Søndergaard,2024-09-10,"32,200"
29,INA,Mohammad Ahsan,2024-09-10,"31,980"
30,CHN,Liu Yu Chen,2024-09-10,"31,910"
31,GER,Bjarne Geiss,2024-09-10,"31,470"
32,MAS,Low Hang Yee,2024-09-10,"30,630"
33,TPE,Ming Che Lu,2024-09-10,"30,470"
34,IND,Krishna Prasad Garaga,2024-09-10,"30,330"
35,TPE,Chiang Chien-Wei,2024-09-10,"29,200"
36,MAS,Junaidi Arif,2024-09-10,"29,050"
37,SCO,Alexander Dunn,2024-09-10,"29,020"
38,CAN,Dong Adam (Xingyu),2024-09-10,"28,100"
39,MAS,Ong Yew Sin,2024-09-10,"27,830"
40,TPE,Chen Zhi Ray,2024-09-10,"26,600"
41,CHN,Xie Hao Nan,2024-09-10,"26,440"
42,JPN,Akira Koga,2024-09-10,"23,860"
43,FRA,Lucas Corvee,2024-09-10,"23,620"
44,TPE,Wei Chun Wei,2024-09-10,"23,030"
45,USA,Vinson Chiu,2024-09-10,"22,530"
46,TPE,Liu Kuang Heng,2024-09-10,"22,430"
47,MAS,Nur Mohd Azriyn Ayub Azriyn,2024-09-10,"22,150"
48,THA,Pharanyu Kaosamaang,2024-09-10,"21,260"
49,TPE,Chen Cheng Kuan,2024-09-10,"21,230"
50,TPE,Chang Ko-Chi,2024-09-10,"21,160"
51,GER,Mark Lamsfuss,2024-09-10,"20,990"
52,SCO,Christopher Grimley,2024-09-10,"20,480"
53,MAS,Boon Xin Yuan,2024-09-10,"19,450"
54,USA,Chen Zhi Yi,2024-09-10,"19,430"
55,DEN,William Kryger Boe,2024-09-10,"18,310"
56,TPE,Chang Ko-Chi,2024-09-10,"17,850"
57,KOR,Kim Gi Jung,2024-09-10,"17,720"
58,INA,Leo Rolly Carnando,2024-09-10,"16,900"
59,CAN,Kevin Lee,2024-09-10,"15,810"
60,INA,Rahmat Hidayat,2024-09-10,"15,290"
61,INA,Muhammad Shohibul Fikri,2024-09-10,"14,120"
62,CHN,Cui He Chen,2024-09-10,"13,230"
63,KOR,Jin Yong,2024-09-10,"12,840"
64,CZE,Ondřej Král,2024-09-10,"12,390"
65,KOR,Kim Won Ho,2024-09-10,"12,290"
66,IND,M.R. Arjun,2024-09-10,"12,260"
67,THA,Chaloempon Charoenkitamorn,2024-09-10,"11,460"
68,IND,Hariharan Amsakarunan,2024-09-10,"11,300"
69,THA,Pongsakorn Thongkham,2024-09-10,"11,280"
70,TPE,Lu Chen,2024-09-10,"11,270"
71,TPE,Chiu Hsiang Chieh,2024-09-10,"10,740"
72,MAS,Lwi Sheng Hao,2024-09-10,"10,590"
73,FRA,Eloi Adam,2024-09-10,"10,410"
74,JPN,Keiichiro Matsui,2024-09-10,"9,630"
75,CHN,Huang Di,2024-09-10,"9,370"
76,GER,Jones Ralfy Jansen,2024-09-10,"9,270"
77,IRL,Joshua Magee,2024-09-10,"8,900"
78,HKG,Law Cheuk Him,2024-09-10,"8,690"
79,MEX,Job Castillo,2024-09-10,"8,640"
80,MAS,"Chok Ken Wei, Keane",2024-09-10,"8,610"
81,MAS,Kang Khai Xing,2024-09-10,"7,790"
82,JPN,Keiichiro Matsui,2024-09-10,"7,460"
83,MAS,Lau Yi Sheng,2024-09-10,"7,440"
84,BUL,Ivan Rusev,2024-09-10,"7,230"
85,JPN,Kazuki Shibata,2024-09-10,"6,980"
86,IND,Dhruv Kapila,2024-09-10,"6,810"
87,KOR,Choi Sol Gyu,2024-09-10,"6,710"
88,BRA,Fabricio Farias,2024-09-10,"6,680"
89,TPE,Lu Ching Yao,2024-09-10,"6,550"
90,TPE,Lin Chia Yu,2024-09-10,"6,430"
91,ALG,Koceila Mammeri,2024-09-10,"6,340"
92,IND,Dhruv Rawat,2024-09-10,"6,150"
93,CHN,Chen Bo Yang,2024-09-10,"6,090"
94,MAS,Chia Weijie,2024-09-10,"6,060"
95,THA,Tanadon Punpanich,2024-09-10,"6,000"
96,IND,Achutaditya Rao Doddavarapu,2024-09-10,"5,990"
97,CHN,Sun Wen Jun,2024-09-10,"5,960"
98,MAS,Beh Chun Meng,2024-09-10,"5,870"
99,KOR,Kim Young Hyuk,2024-09-10,"5,820"
100,FRA,Mael Cattoen,2024-09-10,"5,710"
1,CHN,He Ji Ting,2024-09-03,"75,850"
2,DEN,Kim Astrup,2024-09-03,"64,000"
3,TPE,Lee Jhe-Huei,2024-09-03,"60,350"
4,KOR,Kang Min Hyuk,2024-09-03,"56,300"
5,INA,Fajar Alfian,2024-09-03,"55,520"
6,MAS,Choong Hon Jian,2024-09-03,"54,600"
7,MAS,Goh Sze Fei,2024-09-03,"50,660"
8,MAS,Man Wei Chong,2024-09-03,"48,260"
9,THA,Supak Jomkoh,2024-09-03,"47,660"
10,IND,Satwiksairaj Rankireddy,2024-09-03,"47,210"
11,MAS,Aaron Chia,2024-09-03,"46,440"
12,INA,Sabar Karyaman Gutama,2024-09-03,"46,040"
13,JPN,Takuro Hoki,2024-09-03,"45,560"
14,INA,Muhammad Shohibul Fikri,2024-09-03,"45,330"
15,CHN,Liang Wei Keng,2024-09-03,"43,490"
16,DEN,Rasmus Kjær,2024-09-03,"43,060"
17,JPN,Kenya Mitsuhashi,2024-09-03,"40,540"
18,CHN,Chen Bo Yang,2024-09-03,"39,580"
19,INA,Leo Rolly Carnando,2024-09-03,"37,850"
20,DEN,Daniel Lundgaard,2024-09-03,"37,800"
21,TPE,Lin Bing-Wei,2024-09-03,"36,960"
22,TPE,Fang-Chih Lee,2024-09-03,"36,020"
23,ENG,Ben Lane,2024-09-03,"35,920"
24,TPE,Lu Ching Yao,2024-09-03,"35,790"
25,TPE,Lee Yang,2024-09-03,"33,150"
26,FRA,Christo Popov,2024-09-03,"32,540"
27,DEN,Andreas Søndergaard,2024-09-03,"32,200"
28,INA,Mohammad Ahsan,2024-09-03,"31,980"
29,CHN,Liu Yu Chen,2024-09-03,"31,910"
30,GER,Bjarne Geiss,2024-09-03,"31,470"
31,MAS,Low Hang Yee,2024-09-03,"30,630"
32,IND,Krishna Prasad Garaga,2024-09-03,"30,330"
33,THA,Peeratchai Sukphun,2024-09-03,"30,190"
34,MAS,Junaidi Arif,2024-09-03,"29,050"
35,SCO,Alexander Dunn,2024-09-03,"29,020"
36,CAN,Dong Adam (Xingyu),2024-09-03,"28,100"
37,MAS,Ong Yew Sin,2024-09-03,"27,830"
38,TPE,Ming Che Lu,2024-09-03,"27,720"
39,CHN,Xie Hao Nan,2024-09-03,"26,440"
40,JPN,Akira Koga,2024-09-03,"23,860"
41,TPE,Chen Zhi Ray,2024-09-03,"23,850"
42,FRA,Lucas Corvee,2024-09-03,"23,620"
43,TPE,Chiang Chien-Wei,2024-09-03,"23,250"
44,TPE,Wei Chun Wei,2024-09-03,"23,030"
45,USA,Vinson Chiu,2024-09-03,"22,530"
46,THA,Pharanyu Kaosamaang,2024-09-03,"21,260"
47,TPE,Chang Ko-Chi,2024-09-03,"21,160"
48,GER,Mark Lamsfuss,2024-09-03,"20,990"
49,SCO,Christopher Grimley,2024-09-03,"20,480"
50,TPE,Chen Cheng Kuan,2024-09-03,"19,560"
51,MAS,Nur Mohd Azriyn Ayub Azriyn,2024-09-03,"19,400"
52,DEN,William Kryger Boe,2024-09-03,"18,310"
53,MAS,Boon Xin Yuan,2024-09-03,"17,780"
54,USA,Chen Zhi Yi,2024-09-03,"17,760"
55,KOR,Kim Gi Jung,2024-09-03,"17,720"
56,TPE,Liu Kuang Heng,2024-09-03,"17,530"
57,INA,Leo Rolly Carnando,2024-09-03,"16,900"
58,CAN,Kevin Lee,2024-09-03,"15,810"
59,INA,Muhammad Shohibul Fikri,2024-09-03,"14,120"
60,TPE,Chang Ko-Chi,2024-09-03,"14,000"
61,CHN,Cui He Chen,2024-09-03,"13,230"
62,KOR,Jin Yong,2024-09-03,"12,840"
63,INA,Rahmat Hidayat,2024-09-03,"12,540"
64,CZE,Ondřej Král,2024-09-03,"12,390"
65,KOR,Kim Won Ho,2024-09-03,"12,290"
66,IND,M.R. Arjun,2024-09-03,"12,260"
67,THA,Chaloempon Charoenkitamorn,2024-09-03,"11,460"
68,IND,Hariharan Amsakarunan,2024-09-03,"11,300"
69,TPE,Chiu Hsiang Chieh,2024-09-03,"10,740"
70,MAS,Lwi Sheng Hao,2024-09-03,"10,590"
71,JPN,Keiichiro Matsui,2024-09-03,"9,630"
72,THA,Pongsakorn Thongkham,2024-09-03,"9,610"
73,TPE,Lu Chen,2024-09-03,"9,600"
74,CHN,Huang Di,2024-09-03,"9,370"
75,GER,Jones Ralfy Jansen,2024-09-03,"9,270"
76,IRL,Joshua Magee,2024-09-03,"8,900"
77,MEX,Job Castillo,2024-09-03,"8,640"
78,MAS,"Chok Ken Wei, Keane",2024-09-03,"8,290"
79,JPN,Keiichiro Matsui,2024-09-03,"7,460"
80,BUL,Ivan Rusev,2024-09-03,"7,230"
81,HKG,Law Cheuk Him,2024-09-03,"7,020"
82,JPN,Kazuki Shibata,2024-09-03,"6,980"
83,IND,Dhruv Kapila,2024-09-03,"6,810"
84,BRA,Fabricio Farias,2024-09-03,"6,680"
85,ALG,Koceila Mammeri,2024-09-03,"6,340"
86,IND,Dhruv Rawat,2024-09-03,"6,150"
87,CHN,Chen Bo Yang,2024-09-03,"6,090"
88,MAS,Chia Weijie,2024-09-03,"6,060"
89,THA,Tanadon Punpanich,2024-09-03,"6,000"
90,IND,Achutaditya Rao Doddavarapu,2024-09-03,"5,990"
91,CHN,Sun Wen Jun,2024-09-03,"5,960"
92,MAS,Beh Chun Meng,2024-09-03,"5,870"
93,KOR,Kim Young Hyuk,2024-09-03,"5,820"
94,FRA,Eloi Adam,2024-09-03,"5,510"
95,CHN,Tan Qiang,2024-09-03,"5,500"
95,CHN,Huang Di,2024-09-03,"5,500"
97,GER,Daniel Hess,2024-09-03,"5,080"
98,IND,P.S Ravikrishna,2024-09-03,"5,070"
99,MAS,Kang Khai Xing,2024-09-03,"5,040"
99,AUS,Pramudya Kusumawardana,2024-09-03,"5,040"
1,CHN,He Ji Ting,2024-08-27,"70,810"
2,DEN,Kim Astrup,2024-08-27,"64,000"
3,TPE,Lee Jhe-Huei,2024-08-27,"56,750"
4,INA,Fajar Alfian,2024-08-27,"55,520"
5,MAS,Choong Hon Jian,2024-08-27,"51,000"
6,KOR,Kang Min Hyuk,2024-08-27,"48,500"
7,MAS,Goh Sze Fei,2024-08-27,"48,440"
8,IND,Satwiksairaj Rankireddy,2024-08-27,"47,210"
9,MAS,Aaron Chia,2024-08-27,"46,440"
10,INA,Sabar Karyaman Gutama,2024-08-27,"46,040"
10,MAS,Man Wei Chong,2024-08-27,"46,040"
12,JPN,Takuro Hoki,2024-08-27,"45,560"
13,INA,Muhammad Shohibul Fikri,2024-08-27,"45,330"
14,CHN,Liang Wei Keng,2024-08-27,"43,490"
15,DEN,Rasmus Kjær,2024-08-27,"43,060"
16,THA,Supak Jomkoh,2024-08-27,"42,620"
17,JPN,Kenya Mitsuhashi,2024-08-27,"40,540"
18,INA,Leo Rolly Carnando,2024-08-27,"37,850"
19,CHN,Chen Bo Yang,2024-08-27,"35,980"
20,ENG,Ben Lane,2024-08-27,"35,920"
21,TPE,Lu Ching Yao,2024-08-27,"35,790"
22,DEN,Daniel Lundgaard,2024-08-27,"35,580"
23,TPE,Lin Bing-Wei,2024-08-27,"34,740"
24,TPE,Lee Yang,2024-08-27,"33,150"
25,FRA,Christo Popov,2024-08-27,"32,540"
26,TPE,Fang-Chih Lee,2024-08-27,"32,420"
27,INA,Mohammad Ahsan,2024-08-27,"31,980"
28,CHN,Liu Yu Chen,2024-08-27,"31,910"
29,IND,Krishna Prasad Garaga,2024-08-27,"30,330"
30,THA,Peeratchai Sukphun,2024-08-27,"30,190"
31,GER,Bjarne Geiss,2024-08-27,"29,250"
32,MAS,Junaidi Arif,2024-08-27,"29,050"
33,SCO,Alexander Dunn,2024-08-27,"29,020"
34,DEN,Andreas Søndergaard,2024-08-27,"28,600"
35,MAS,Low Hang Yee,2024-08-27,"28,410"
36,CAN,Dong Adam (Xingyu),2024-08-27,"28,100"
37,MAS,Ong Yew Sin,2024-08-27,"27,830"
38,TPE,Ming Che Lu,2024-08-27,"25,500"
39,JPN,Akira Koga,2024-08-27,"23,860"
40,FRA,Lucas Corvee,2024-08-27,"23,620"
41,TPE,Wei Chun Wei,2024-08-27,"23,030"
42,CHN,Xie Hao Nan,2024-08-27,"22,840"
43,USA,Vinson Chiu,2024-08-27,"22,530"
44,TPE,Chen Zhi Ray,2024-08-27,"21,630"
45,THA,Pharanyu Kaosamaang,2024-08-27,"21,260"
46,TPE,Chang Ko-Chi,2024-08-27,"21,160"
47,TPE,Chiang Chien-Wei,2024-08-27,"21,030"
48,GER,Mark Lamsfuss,2024-08-27,"20,990"
49,SCO,Christopher Grimley,2024-08-27,"20,480"
50,DEN,William Kryger Boe,2024-08-27,"18,310"
51,TPE,Chen Cheng Kuan,2024-08-27,"17,340"
52,MAS,Nur Mohd Azriyn Ayub Azriyn,2024-08-27,"15,800"
53,USA,Chen Zhi Yi,2024-08-27,"15,540"
54,TPE,Liu Kuang Heng,2024-08-27,"15,310"
55,MAS,Boon Xin Yuan,2024-08-27,"14,180"
56,TPE,Chang Ko-Chi,2024-08-27,"14,000"
57,CAN,Kevin Lee,2024-08-27,"13,590"
58,CHN,Cui He Chen,2024-08-27,"13,230"
59,KOR,Jin Yong,2024-08-27,"12,840"
60,KOR,Kim Gi Jung,2024-08-27,"12,680"
61,CZE,Ondřej Král,2024-08-27,"12,390"
62,KOR,Kim Won Ho,2024-08-27,"12,290"
63,IND,M.R. Arjun,2024-08-27,"12,260"
64,IND,Hariharan Amsakarunan,2024-08-27,"11,300"
65,MAS,Lwi Sheng Hao,2024-08-27,"10,590"
66,THA,Pongsakorn Thongkham,2024-08-27,"9,610"
67,TPE,Lu Chen,2024-08-27,"9,600"
68,CHN,Huang Di,2024-08-27,"9,370"
69,GER,Jones Ralfy Jansen,2024-08-27,"9,270"
70,IRL,Joshua Magee,2024-08-27,"8,900"
71,MEX,Job Castillo,2024-08-27,"8,640"
72,MAS,"Chok Ken Wei, Keane",2024-08-27,"8,290"
73,INA,Rahmat Hidayat,2024-08-27,"7,860"
74,INA,Muhammad Shohibul Fikri,2024-08-27,"7,700"
74,INA,Leo Rolly Carnando,2024-08-27,"7,700"
76,JPN,Keiichiro Matsui,2024-08-27,"7,460"
77,BUL,Ivan Rusev,2024-08-27,"7,230"
78,HKG,Law Cheuk Him,2024-08-27,"7,020"
79,JPN,Kazuki Shibata,2024-08-27,"6,980"
80,IND,Dhruv Kapila,2024-08-27,"6,810"
81,BRA,Fabricio Farias,2024-08-27,"6,680"
82,JPN,Keiichiro Matsui,2024-08-27,"6,600"
83,ALG,Koceila Mammeri,2024-08-27,"6,340"
84,IND,Dhruv Rawat,2024-08-27,"6,150"
85,CHN,Chen Bo Yang,2024-08-27,"6,090"
86,MAS,Chia Weijie,2024-08-27,"6,060"
87,THA,Tanadon Punpanich,2024-08-27,"6,000"
88,IND,Achutaditya Rao Doddavarapu,2024-08-27,"5,990"
89,THA,Chaloempon Charoenkitamorn,2024-08-27,"5,960"
89,CHN,Sun Wen Jun,2024-08-27,"5,960"
91,MAS,Beh Chun Meng,2024-08-27,"5,870"
92,KOR,Kim Young Hyuk,2024-08-27,"5,820"
93,CHN,Huang Di,2024-08-27,"5,500"
93,CHN,Tan Qiang,2024-08-27,"5,500"
95,GER,Daniel Hess,2024-08-27,"5,080"
96,IND,P.S Ravikrishna,2024-08-27,"5,070"
97,MAS,Kang Khai Xing,2024-08-27,"5,040"
97,AUS,Pramudya Kusumawardana,2024-08-27,"5,040"
97,AUS,Rizky Hidayat,2024-08-27,"5,040"
100,USA,Arthur Lee,2024-08-27,"4,970"
1,CHN,He Ji Ting,2024-07-02,"68,150"
2,DEN,Kim Astrup,2024-07-02,"54,800"
3,TPE,Lee Jhe-Huei,2024-07-02,"52,430"
4,INA,Fajar Alfian,2024-07-02,"49,470"
5,IND,Satwiksairaj Rankireddy,2024-07-02,"47,210"
6,MAS,Choong Hon Jian,2024-07-02,"46,680"
7,MAS,Aaron Chia,2024-07-02,"46,440"
8,INA,Muhammad Shohibul Fikri,2024-07-02,"45,330"
9,CHN,Liang Wei Keng,2024-07-02,"43,490"
10,JPN,Takuro Hoki,2024-07-02,"42,900"
11,INA,Sabar Karyaman Gutama,2024-07-02,"41,720"
12,MAS,Man Wei Chong,2024-07-02,"39,990"
13,THA,Supak Jomkoh,2024-07-02,"39,960"
14,KOR,Kang Min Hyuk,2024-07-02,"39,150"
15,INA,Leo Rolly Carnando,2024-07-02,"37,850"
16,MAS,Goh Sze Fei,2024-07-02,"37,440"
17,DEN,Rasmus Kjær,2024-07-02,"36,640"
18,TPE,Lu Ching Yao,2024-07-02,"35,790"
19,TPE,Lee Yang,2024-07-02,"33,150"
20,DEN,Daniel Lundgaard,2024-07-02,"32,920"
21,FRA,Christo Popov,2024-07-02,"32,540"
22,CHN,Liu Yu Chen,2024-07-02,"31,910"
23,CHN,Chen Bo Yang,2024-07-02,"29,930"
24,INA,Mohammad Ahsan,2024-07-02,"29,320"
25,MAS,Junaidi Arif,2024-07-02,"29,050"
26,SCO,Alexander Dunn,2024-07-02,"29,020"
27,ENG,Ben Lane,2024-07-02,"28,120"
28,TPE,Fang-Chih Lee,2024-07-02,"28,100"
29,JPN,Kenya Mitsuhashi,2024-07-02,"28,070"
30,TPE,Lin Bing-Wei,2024-07-02,"27,040"
31,IND,Krishna Prasad Garaga,2024-07-02,"26,730"
32,CAN,Dong Adam (Xingyu),2024-07-02,"25,880"
33,MAS,Low Hang Yee,2024-07-02,"25,750"
34,GER,Bjarne Geiss,2024-07-02,"24,370"
35,THA,Peeratchai Sukphun,2024-07-02,"23,930"
36,JPN,Akira Koga,2024-07-02,"23,860"
37,FRA,Lucas Corvee,2024-07-02,"23,620"
38,MAS,Ong Yew Sin,2024-07-02,"23,510"
39,TPE,Ming Che Lu,2024-07-02,"23,280"
40,TPE,Wei Chun Wei,2024-07-02,"23,030"
41,THA,Pharanyu Kaosamaang,2024-07-02,"21,260"
42,TPE,Chang Ko-Chi,2024-07-02,"21,160"
43,GER,Mark Lamsfuss,2024-07-02,"20,990"
44,USA,Vinson Chiu,2024-07-02,"20,310"
45,CHN,Xie Hao Nan,2024-07-02,"20,180"
46,TPE,Chen Zhi Ray,2024-07-02,"19,410"
47,DEN,Andreas Søndergaard,2024-07-02,"19,240"
48,TPE,Chiang Chien-Wei,2024-07-02,"18,370"
49,DEN,William Kryger Boe,2024-07-02,"18,310"
50,MAS,Nur Mohd Azriyn Ayub Azriyn,2024-07-02,"15,800"
51,SCO,Christopher Grimley,2024-07-02,"15,440"
52,MAS,Boon Xin Yuan,2024-07-02,"13,360"
53,KOR,Jin Yong,2024-07-02,"12,840"
54,KOR,Kim Gi Jung,2024-07-02,"12,680"
55,TPE,Chen Cheng Kuan,2024-07-02,"12,460"
56,CZE,Ondřej Král,2024-07-02,"12,390"
57,KOR,Kim Won Ho,2024-07-02,"12,290"
58,IND,M.R. Arjun,2024-07-02,"12,260"
59,IND,Hariharan Amsakarunan,2024-07-02,"11,300"
60,USA,Chen Zhi Yi,2024-07-02,"10,660"
61,MAS,Lwi Sheng Hao,2024-07-02,"10,590"
62,TPE,Chang Ko-Chi,2024-07-02,"10,400"
63,THA,Pongsakorn Thongkham,2024-07-02,"9,610"
64,CHN,Huang Di,2024-07-02,"9,370"
65,IRL,Joshua Magee,2024-07-02,"8,900"
66,MEX,Job Castillo,2024-07-02,"8,640"
67,INA,Rahmat Hidayat,2024-07-02,"7,860"
68,JPN,Keiichiro Matsui,2024-07-02,"7,460"
69,TPE,Lu Chen,2024-07-02,"7,380"
70,CAN,Kevin Lee,2024-07-02,"7,330"
71,IND,Dhruv Kapila,2024-07-02,"6,810"
72,BRA,Fabricio Farias,2024-07-02,"6,680"
73,CHN,Cui He Chen,2024-07-02,"6,600"
73,JPN,Keiichiro Matsui,2024-07-02,"6,600"
75,ALG,Koceila Mammeri,2024-07-02,"6,340"
76,MAS,"Chok Ken Wei, Keane",2024-07-02,"6,180"
77,IND,Dhruv Rawat,2024-07-02,"6,150"
78,CHN,Chen Bo Yang,2024-07-02,"6,090"
79,MAS,Chia Weijie,2024-07-02,"6,060"
80,THA,Tanadon Punpanich,2024-07-02,"6,000"
81,IND,Achutaditya Rao Doddavarapu,2024-07-02,"5,990"
82,TPE,Liu Kuang Heng,2024-07-02,"5,950"
83,MAS,Beh Chun Meng,2024-07-02,"5,870"
84,KOR,Kim Young Hyuk,2024-07-02,"5,820"
85,HKG,Law Cheuk Him,2024-07-02,"5,730"
86,GER,Jones Ralfy Jansen,2024-07-02,"5,670"
87,CHN,Tan Qiang,2024-07-02,"5,500"
88,GER,Daniel Hess,2024-07-02,"5,080"
89,IND,P.S Ravikrishna,2024-07-02,"5,070"
90,AUS,Rizky Hidayat,2024-07-02,"5,040"
90,AUS,Pramudya Kusumawardana,2024-07-02,"5,040"
90,MAS,Kang Khai Xing,2024-07-02,"5,040"
93,BUL,Ivan Rusev,2024-07-02,"5,010"
94,INA,Muhammad Rayhan Nur Fadillah,2024-07-02,"4,700"
95,MAS,Lau Yi Sheng,2024-07-02,"4,690"
96,JPN,Shuntaro Mezaki,2024-07-02,"4,420"
96,DEN,Rasmus Espersen,2024-07-02,"4,420"
98,THA,Sirawit Sothon,2024-07-02,"4,390"
99,TPE,Zhi-Wei He,2024-07-02,"4,320"
100,FRA,Eloi Adam,2024-07-02,"4,220"
1,CHN,He Ji Ting,2024-08-13,"68,150"
2,DEN,Kim Astrup,2024-08-13,"64,000"
3,TPE,Lee Jhe-Huei,2024-08-13,"52,430"
4,INA,Fajar Alfian,2024-08-13,"49,470"
5,IND,Satwiksairaj Rankireddy,2024-08-13,"47,210"
6,MAS,Choong Hon Jian,2024-08-13,"46,680"
7,MAS,Aaron Chia,2024-08-13,"46,440"
8,INA,Muhammad Shohibul Fikri,2024-08-13,"45,330"
9,CHN,Liang Wei Keng,2024-08-13,"43,490"
10,DEN,Rasmus Kjær,2024-08-13,"43,060"
11,JPN,Takuro Hoki,2024-08-13,"42,900"
12,INA,Sabar Karyaman Gutama,2024-08-13,"41,720"
13,MAS,Man Wei Chong,2024-08-13,"39,990"
14,THA,Supak Jomkoh,2024-08-13,"39,960"
15,KOR,Kang Min Hyuk,2024-08-13,"39,150"
16,INA,Leo Rolly Carnando,2024-08-13,"37,850"
17,MAS,Goh Sze Fei,2024-08-13,"37,440"
18,ENG,Ben Lane,2024-08-13,"35,920"
19,TPE,Lu Ching Yao,2024-08-13,"35,790"
20,JPN,Kenya Mitsuhashi,2024-08-13,"34,490"
21,TPE,Lee Yang,2024-08-13,"33,150"
22,DEN,Daniel Lundgaard,2024-08-13,"32,920"
23,FRA,Christo Popov,2024-08-13,"32,540"
24,TPE,Lin Bing-Wei,2024-08-13,"32,080"
25,CHN,Liu Yu Chen,2024-08-13,"31,910"
26,IND,Krishna Prasad Garaga,2024-08-13,"30,330"
27,CHN,Chen Bo Yang,2024-08-13,"29,930"
28,INA,Mohammad Ahsan,2024-08-13,"29,320"
29,MAS,Junaidi Arif,2024-08-13,"29,050"
30,SCO,Alexander Dunn,2024-08-13,"29,020"
31,CAN,Dong Adam (Xingyu),2024-08-13,"28,100"
32,TPE,Fang-Chih Lee,2024-08-13,"28,100"
33,THA,Peeratchai Sukphun,2024-08-13,"27,530"
34,GER,Bjarne Geiss,2024-08-13,"26,590"
35,MAS,Low Hang Yee,2024-08-13,"25,750"
36,TPE,Ming Che Lu,2024-08-13,"25,500"
37,DEN,Andreas Søndergaard,2024-08-13,"24,280"
38,JPN,Akira Koga,2024-08-13,"23,860"
39,FRA,Lucas Corvee,2024-08-13,"23,620"
40,MAS,Ong Yew Sin,2024-08-13,"23,510"
41,TPE,Wei Chun Wei,2024-08-13,"23,030"
42,USA,Vinson Chiu,2024-08-13,"22,530"
43,TPE,Chen Zhi Ray,2024-08-13,"21,630"
44,THA,Pharanyu Kaosamaang,2024-08-13,"21,260"
45,TPE,Chang Ko-Chi,2024-08-13,"21,160"
46,GER,Mark Lamsfuss,2024-08-13,"20,990"
47,SCO,Christopher Grimley,2024-08-13,"20,480"
48,CHN,Xie Hao Nan,2024-08-13,"20,180"
49,TPE,Chiang Chien-Wei,2024-08-13,"18,370"
50,DEN,William Kryger Boe,2024-08-13,"18,310"
51,MAS,Nur Mohd Azriyn Ayub Azriyn,2024-08-13,"15,800"
52,TPE,Chen Cheng Kuan,2024-08-13,"14,680"
53,MAS,Boon Xin Yuan,2024-08-13,"14,180"
54,TPE,Chang Ko-Chi,2024-08-13,"14,000"
55,CHN,Cui He Chen,2024-08-13,"13,230"
56,USA,Chen Zhi Yi,2024-08-13,"12,880"
57,KOR,Jin Yong,2024-08-13,"12,840"
58,KOR,Kim Gi Jung,2024-08-13,"12,680"
59,CZE,Ondřej Král,2024-08-13,"12,390"
60,KOR,Kim Won Ho,2024-08-13,"12,290"
61,IND,M.R. Arjun,2024-08-13,"12,260"
62,IND,Hariharan Amsakarunan,2024-08-13,"11,300"
63,TPE,Liu Kuang Heng,2024-08-13,"10,990"
64,CAN,Kevin Lee,2024-08-13,"10,930"
65,MAS,Lwi Sheng Hao,2024-08-13,"10,590"
66,THA,Pongsakorn Thongkham,2024-08-13,"9,610"
67,TPE,Lu Chen,2024-08-13,"9,600"
68,CHN,Huang Di,2024-08-13,"9,370"
69,GER,Jones Ralfy Jansen,2024-08-13,"9,270"
70,IRL,Joshua Magee,2024-08-13,"8,900"
71,MEX,Job Castillo,2024-08-13,"8,640"
72,MAS,"Chok Ken Wei, Keane",2024-08-13,"8,290"
73,INA,Rahmat Hidayat,2024-08-13,"7,860"
74,JPN,Keiichiro Matsui,2024-08-13,"7,460"
75,BUL,Ivan Rusev,2024-08-13,"7,230"
76,HKG,Law Cheuk Him,2024-08-13,"7,020"
77,IND,Dhruv Kapila,2024-08-13,"6,810"
78,BRA,Fabricio Farias,2024-08-13,"6,680"
79,JPN,Keiichiro Matsui,2024-08-13,"6,600"
