,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Name,Player 1 Seed,Player 2 Name,Player 2 Seed,Points Set 1 Player 1,Points Set 1 Player 2,Points Set 2 Player 1,Points Set 2 Player 2,Points Set 3 Player 1,Points Set 3 Player 2,Total Points Player 1,Total Points Player 2,Sets Won Player 1,Sets Won Player 2,Total Game Points Player 1,Total Game Points Player 2,Most Consecutive Points Player 1,Most Consecutive Points Player 2,Player 1 Head to Head Analysis,Player 2 Head to Head Analysis,Match Winner
402,Kapal_Api_Group_Indonesia_Open,2023-06-13,Indonesia,MS,2,0,50,India,Japan,Prannoy H. S.,7,Kenta Nishimoto,,21,16,21,14,0,0,42,30,2,0,4,0,7,4,2,4,1
403,Victor_China_Open,2023-09-06,China,MS,3,0,75,China,Chinesetaipei,Li Shi Feng,6,Chou Tien Chen,,21,14,18,21,21,18,60,53,2,1,3,2,7,4,1,0,1
404,Yonex_All_England_Open,2023-03-14,England,MS,2,0,49,India,Chinesetaipei,Prannoy H. S.,,Wang Tzu Wei,,21,19,22,20,0,0,43,39,2,0,3,0,5,6,6,3,1
405,Yonex_All_England_Open,2023-03-15,England,MS,1,1,26,China,Hongkong,Li Shi Feng,,Ng Ka Long Angus,,21,12,0,0,0,0,21,12,1,0,1,0,4,2,1,4,1
406,Kapal_Api_Group_Indonesia_Open,2023-06-15,Indonesia,MS,2,0,44,China,Singapore,Li Shi Feng,,Loh Kean Yew,4,21,19,21,14,0,0,42,33,2,0,3,0,7,6,2,5,1
407,Kapal_Api_Group_Indonesia_Open,2023-06-16,Indonesia,MS,2,0,55,India,Japan,Prannoy H. S.,7,Kodai Naraoka,3,21,18,21,16,0,0,42,34,2,0,3,0,4,5,1,6,1
408,Victor_China_Open,2023-09-05,China,MS,3,0,78,Denmark,India,Anders Antonsen,,Lakshya Sen,,23,21,16,21,21,9,60,51,2,1,3,4,4,4,4,2,1
409,Victor_China_Open,2023-09-06,China,MS,3,0,73,Hongkong,China,Lee Cheuk Yiu,,Zhao Jun Peng,,21,19,21,23,21,19,63,61,2,1,5,2,7,4,2,4,1
410,Kapal_Api_Group_Indonesia_Open,2023-06-16,Indonesia,MS,2,0,51,Indonesia,Indonesia,Anthony Sinisuka Ginting,2,Jonatan Christie,6,21,19,21,16,0,0,42,35,2,0,2,0,5,4,6,4,1
411,Yonex_All_England_Open,2022-03-16,England,MS,2,0,36,Hongkong,France,Ng Ka Long Angus,8,Thomas Rouxel,,21,11,21,19,0,0,42,30,2,0,4,0,8,4,1,0,1
412,Victor_China_Open,2023-09-06,China,MS,3,0,66,Japan,Indonesia,Kanta Tsuneyama,,Anthony Sinisuka Ginting,2,21,11,18,21,21,17,60,49,2,1,2,3,5,4,5,5,1
413,Victor_China_Open,2023-09-05,China,MS,2,0,46,Denmark,Indonesia,Viktor Axelsen,1,Chico Aura Dwi Wardoyo,,21,17,21,18,0,0,42,35,2,0,3,0,4,4,5,0,1
414,Kapal_Api_Group_Indonesia_Open,2023-06-14,Indonesia,MS,2,0,33,India,Malaysia,Lakshya Sen,,Lee Zii Jia,8,21,17,21,13,0,0,42,30,2,0,3,0,7,5,4,2,1
415,Yonex_All_England_Open,2022-03-16,England,MS,3,0,75,China,China,Lu Guang Zu,,Zhao Jun Peng,,23,25,21,18,21,16,65,59,2,1,4,3,8,5,3,1,1
416,Kapal_Api_Group_Indonesia_Open,2023-06-15,Indonesia,MS,2,0,43,India,Hongkong,Prannoy H. S.,7,Ng Ka Long Angus,,21,18,21,16,0,0,42,34,2,0,2,0,5,3,6,7,1
417,Victor_China_Open,2023-09-07,China,MS,3,0,74,Indonesia,Malaysia,Shesar Hiren Rhustavito,,Ng Tze Yong,,18,21,21,11,22,20,61,52,2,1,4,7,8,6,1,1,1
418,Kapal_Api_Group_Indonesia_Open,2023-06-13,Indonesia,MS,3,0,66,Chinesetaipei,France,Chou Tien Chen,5,Christo Popov,,15,21,22,20,21,1,58,42,2,1,3,1,16,6,3,0,1
419,Yonex_All_England_Open,2023-03-16,England,MS,2,0,34,China,China,Li Shi Feng,,Zhao Jun Peng,,21,9,21,17,0,0,42,26,2,0,5,0,9,3,2,1,1
420,Kapal_Api_Group_Indonesia_Open,2023-06-15,Indonesia,MS,3,0,64,Indonesia,France,Jonatan Christie,6,Toma Junior Popov,,19,21,21,11,21,11,61,43,2,1,2,1,6,6,3,0,1
421,Yonex_All_England_Open,2023-03-15,England,MS,2,0,40,China,Indonesia,Weng Hong Yang,,Jonatan Christie,2,21,6,21,11,0,0,42,17,2,0,3,0,7,3,2,2,1
422,Victor_China_Open,2023-09-07,China,MS,3,0,57,Indonesia,Canada,Jonatan Christie,5,Brian Yang,,12,21,21,15,21,14,54,50,2,1,2,1,5,7,2,1,1
423,Victor_China_Open,2023-09-05,China,MS,2,0,47,Singapore,France,Loh Kean Yew,7,Christo Popov,,21,14,21,17,0,0,42,31,2,0,6,0,6,4,3,2,1
424,Kapal_Api_Group_Indonesia_Open,2023-06-14,Indonesia,MS,3,0,82,Japan,Denmark,Kodai Naraoka,3,Anders Antonsen,,14,21,21,7,21,17,56,45,2,1,4,1,7,5,4,4,1
425,Kapal_Api_Group_Indonesia_Open,2023-06-13,Indonesia,MS,2,0,35,Chinesetaipei,Thailand,Wang Tzu Wei,,Kantaphon Wangcharoen,,21,12,21,9,0,0,42,21,2,0,3,0,6,2,4,2,1
426,Victor_China_Open,2023-09-08,China,MS,3,0,85,China,Japan,Shi Yu Qi,8,Kodai Naraoka,4,18,21,21,9,22,20,61,50,2,1,3,2,5,6,7,4,1
427,Kapal_Api_Group_Indonesia_Open,2023-06-13,Indonesia,MS,2,0,64,Canada,Ireland,Brian Yang,,Nhat Nguyen,,21,18,22,20,0,0,43,38,2,0,3,0,8,5,2,0,1
428,Yonex_All_England_Open,2023-03-16,England,MS,3,0,62,China,Indonesia,Weng Hong Yang,,Chico Aura Dwi Wardoyo,,21,11,15,21,21,13,57,45,2,1,6,2,9,5,2,0,1
429,Victor_China_Open,2023-09-07,China,MS,3,0,72,China,Denmark,Shi Yu Qi,8,Rasmus Gemke,,21,11,16,21,21,16,58,48,2,1,3,1,7,3,7,1,1
430,Victor_China_Open,2023-09-05,China,MS,3,0,74,Indonesia,China,Jonatan Christie,5,Weng Hong Yang,,22,20,19,21,21,10,62,51,2,1,3,1,6,5,2,2,1
431,Victor_China_Open,2023-09-08,China,MS,2,0,51,Denmark,Singapore,Viktor Axelsen,1,Loh Kean Yew,7,21,17,23,21,0,0,44,38,2,0,4,0,6,5,9,2,1
432,Yonex_All_England_Open,2023-03-15,England,MS,2,0,44,Japan,Canada,Kenta Nishimoto,,Brian Yang,,21,16,21,14,0,0,42,30,2,0,3,0,7,4,4,1,1
433,Victor_China_Open,2023-09-06,China,MS,3,0,75,Japan,Malaysia,Kodai Naraoka,4,Lee Zii Jia,,26,24,12,21,21,11,59,56,2,1,9,1,6,4,3,3,1
434,Kapal_Api_Group_Indonesia_Open,2023-06-15,Indonesia,MS,2,0,45,India,India,Kidambi Srikanth,,Lakshya Sen,,21,17,22,20,0,0,43,37,2,0,8,0,6,6,3,0,1
435,Victor_China_Open,2023-09-06,China,MS,3,0,79,Denmark,Thailand,Rasmus Gemke,,Kantaphon Wangcharoen,,21,18,18,21,21,15,60,54,2,1,2,1,5,6,3,0,1
436,Kapal_Api_Group_Indonesia_Open,2023-06-14,Indonesia,MS,3,0,70,China,Hongkong,Li Shi Feng,,Lee Cheuk Yiu,,21,18,9,21,21,19,51,58,2,1,4,1,5,7,3,0,1
437,Victor_China_Open,2023-09-10,China,MS,2,0,49,Denmark,China,Viktor Axelsen,1,Lu Guang Zu,,21,16,21,19,0,0,42,35,2,0,3,0,7,4,7,0,1
438,Victor_China_Open,2023-09-06,China,MS,3,0,71,Chinesetaipei,France,Lin Chun-Yi,,Toma Junior Popov,,21,15,10,21,21,16,52,52,2,1,2,1,6,6,2,2,1
439,Victor_China_Open,2023-09-05,China,MS,2,0,58,Chinesetaipei,Japan,Wang Tzu Wei,,Kenta Nishimoto,,23,21,22,20,0,0,45,41,2,0,3,4,4,4,2,3,1
440,Victor_China_Open,2023-09-08,China,MS,3,0,67,China,Japan,Lu Guang Zu,,Kanta Tsuneyama,,14,21,21,18,21,8,56,47,2,1,3,1,10,5,3,2,1
441,Victor_China_Open,2023-09-06,China,MS,2,0,37,China,Denmark,Shi Yu Qi,8,Magnus Johannesen,,21,8,21,11,0,0,42,19,2,0,4,0,8,4,3,0,1
442,Victor_China_Open,2023-09-09,China,MS,2,0,48,Denmark,Indonesia,Viktor Axelsen,1,Jonatan Christie,5,21,17,21,14,0,0,42,31,2,0,4,0,7,4,10,2,1
443,Victor_China_Open,2023-09-09,China,MS,2,0,41,China,China,Lu Guang Zu,,Shi Yu Qi,8,21,13,21,14,0,0,42,27,2,0,6,0,7,4,2,10,1
444,Victor_China_Open,2023-09-08,China,MS,2,0,36,Indonesia,Indonesia,Jonatan Christie,5,Shesar Hiren Rhustavito,,21,12,21,17,0,0,42,29,2,0,2,0,4,4,5,1,1
445,Kapal_Api_Group_Indonesia_Open,2023-06-14,Indonesia,MS,2,0,46,India,China,Kidambi Srikanth,,Lu Guang Zu,,21,13,21,19,0,0,42,32,2,0,4,0,5,6,5,1,1
446,Victor_China_Open,2023-09-05,China,MS,2,0,41,Indonesia,India,Shesar Hiren Rhustavito,,Priyanshu Rajawat,,21,13,26,24,0,0,47,37,2,0,6,2,5,4,1,0,1
447,Victor_China_Open,2023-09-07,China,MS,2,0,51,Singapore,Denmark,Loh Kean Yew,7,Anders Antonsen,,21,17,21,12,0,0,42,29,2,0,4,0,5,4,4,2,1
448,Yonex_All_England_Open,2022-03-16,England,MS,1,1,35,Japan,Denmark,Kento Momota,2,Hans-Kristian Solberg Vittinghus,,21,18,0,0,0,0,21,18,1,0,2,0,4,4,9,1,1
449,Petronas_Malaysia_Open,2024-01-09,Malaysia,MS,3,0,65,India,Indonesia,Kidambi Srikanth,,Jonatan Christie,6,12,21,21,18,21,16,54,55,2,1,3,1,7,9,7,5,1
450,Petronas_Malaysia_Open,2024-01-11,Malaysia,MS,2,0,38,China,France,Shi Yu Qi,7,Toma Junior Popov,,21,13,21,5,0,0,42,18,2,0,3,0,7,2,2,0,1
451,Yonex_All_England_Open,2022-03-16,England,MS,3,0,66,Canada,Thailand,Brian Yang,,Sitthikom Thammasin,,16,21,21,19,22,20,59,60,2,1,3,2,5,6,1,0,1
452,Kapal_Api_Group_Indonesia_Open,2023-06-14,Indonesia,MS,2,0,51,France,Chinesetaipei,Toma Junior Popov,,Lin Chun-Yi,,21,18,21,15,0,0,42,33,2,0,3,0,4,5,2,2,1
453,Victor_China_Open,2023-09-07,China,MS,3,0,67,Denmark,Chinesetaipei,Viktor Axelsen,1,Wang Tzu Wei,,20,22,21,6,21,14,62,42,2,1,4,1,8,5,7,1,1
454,Petronas_Malaysia_Open,2024-01-12,Malaysia,MS,3,0,77,Denmark,Japan,Anders Antonsen,,Kodai Naraoka,2,16,21,21,12,21,7,58,40,2,1,2,2,9,4,4,4,1
455,Yonex_All_England_Open,2022-03-16,England,MS,2,0,43,Malaysia,Japan,Lee Zii Jia,6,Kenta Nishimoto,,21,16,21,17,0,0,42,33,2,0,2,0,9,5,9,3,1
456,Petronas_Malaysia_Open,2024-01-10,Malaysia,MS,1,1,13,Japan,Malaysia,Koki Watanabe,,Ng Tze Yong,,12,8,0,0,0,0,12,8,1,0,0,0,4,3,2,0,1
457,Victor_China_Open,2023-09-06,China,MS,2,0,49,China,Hongkong,Lu Guang Zu,,Ng Ka Long Angus,,21,17,21,15,0,0,42,32,2,0,4,0,6,4,2,1,1
458,Victor_China_Open,2023-09-05,China,MS,3,0,56,Canada,Israel,Brian Yang,,Misha Zilberman,,21,8,14,21,21,18,56,47,2,1,6,2,5,6,2,3,1
459,Victor_China_Open,2023-09-07,China,MS,2,0,49,Japan,Chinesetaipei,Kodai Naraoka,4,Lin Chun-Yi,,21,19,21,8,0,0,42,27,2,0,3,0,6,3,6,1,1
460,Petronas_Malaysia_Open,2024-01-09,Malaysia,MS,2,0,43,Denmark,Singapore,Viktor Axelsen,1,Loh Kean Yew,,21,13,21,15,0,0,42,28,2,0,7,0,6,3,9,2,1
461,Petronas_Malaysia_Open,2024-01-11,Malaysia,MS,2,0,54,Denmark,Japan,Anders Antonsen,,Koki Watanabe,,21,14,21,17,0,0,42,31,2,0,4,0,7,5,3,0,1
462,Petronas_Malaysia_Open,2024-01-12,Malaysia,MS,3,0,61,Denmark,Hongkong,Viktor Axelsen,1,Ng Ka Long Angus,,16,21,21,18,21,9,58,48,2,1,4,1,8,6,12,1,1
463,Yonex_All_England_Open,2022-03-16,England,MS,3,0,49,Korea,Hongkong,Heo Kwang Hee,,Lee Cheuk Yiu,,21,13,9,21,21,16,51,50,2,1,2,1,6,7,1,2,1
464,Petronas_Malaysia_Open,2024-01-10,Malaysia,MS,2,0,43,Denmark,India,Anders Antonsen,,Prannoy H. S.,8,21,14,21,11,0,0,42,25,2,0,3,0,7,4,1,2,1
465,Petronas_Malaysia_Open,2024-01-09,Malaysia,MS,3,0,75,China,Denmark,Shi Yu Qi,7,Rasmus Gemke,,20,22,21,12,21,10,62,44,2,1,2,2,6,5,7,1,1
466,Petronas_Malaysia_Open,2024-01-11,Malaysia,MS,3,0,74,Denmark,Hongkong,Viktor Axelsen,1,Lee Cheuk Yiu,,21,17,20,22,21,17,62,56,2,1,6,1,7,6,6,1,1
467,Petronas_Malaysia_Open,2024-01-09,Malaysia,MS,2,0,49,Indonesia,Chinesetaipei,Anthony Sinisuka Ginting,4,Su Li Yang,,21,18,21,12,0,0,42,30,2,0,2,0,5,4,2,0,1
468,Petronas_Malaysia_Open,2024-01-14,Malaysia,MS,2,0,55,Denmark,China,Anders Antonsen,,Shi Yu Qi,7,21,14,21,13,0,0,42,27,2,0,3,0,7,4,3,6,1
469,Petronas_Malaysia_Open,2024-01-13,Malaysia,MS,2,0,41,Denmark,Chinesetaipei,Anders Antonsen,,Lin Chun-Yi,,21,16,21,7,0,0,42,23,2,0,4,0,5,5,2,1,1
470,Petronas_Malaysia_Open,2024-01-12,Malaysia,MS,2,0,49,Chinesetaipei,China,Lin Chun-Yi,,Li Shi Feng,3,21,12,21,18,0,0,42,30,2,0,3,0,5,5,2,1,1
471,Petronas_Malaysia_Open,2024-01-13,Malaysia,MS,3,0,70,China,Denmark,Shi Yu Qi,7,Viktor Axelsen,1,21,12,19,21,21,17,61,50,2,1,2,1,5,4,3,10,1
472,Petronas_Malaysia_Open,2024-01-10,Malaysia,MS,3,0,79,China,Chinesetaipei,Li Shi Feng,3,Chia Hao Lee,,23,21,15,21,21,18,59,60,2,1,5,2,4,4,1,1,1
473,Yonex_All_England_Open,2024-03-12,England,MS,2,0,47,Japan,Chinesetaipei,Koki Watanabe,,Wang Tzu Wei,,21,14,21,13,0,0,42,27,2,0,2,0,6,4,4,0,1
474,Yonex_All_England_Open,2024-03-14,England,MS,2,0,33,Malaysia,Singapore,Lee Zii Jia,,Loh Kean Yew,,21,15,21,12,0,0,42,27,2,0,2,0,8,5,6,2,1
475,Yonex_All_England_Open,2024-03-15,England,MS,2,0,45,France,Japan,Christo Popov,,Koki Watanabe,,21,17,21,10,0,0,42,27,2,0,3,0,5,5,2,1,1
476,Petronas_Malaysia_Open,2024-01-12,Malaysia,MS,3,0,61,China,China,Shi Yu Qi,7,Lu Guang Zu,,8,21,21,11,21,10,50,42,2,1,3,1,8,9,10,2,1
477,Petronas_Malaysia_Open,2024-01-10,Malaysia,MS,2,0,49,Japan,France,Kodai Naraoka,2,Christo Popov,,21,15,21,7,0,0,42,22,2,0,5,0,6,3,2,0,1
478,Yonex_All_England_Open,2024-03-16,England,MS,3,0,75,Indonesia,France,Anthony Sinisuka Ginting,5,Christo Popov,,19,21,21,5,21,11,61,37,2,1,2,1,13,5,2,1,1
479,Petronas_Malaysia_Open,2024-01-09,Malaysia,MS,2,0,38,Hongkong,Japan,Ng Ka Long Angus,,Kanta Tsuneyama,,21,15,21,9,0,0,42,24,2,0,2,0,6,3,5,2,1
480,Yonex_All_England_Open,2024-03-14,England,MS,3,0,70,Indonesia,Thailand,Jonatan Christie,,Kunlavut Vitidsarn,8,21,19,18,21,21,13,60,53,2,1,5,3,5,3,6,3,1
481,Yonex_All_England_Open,2024-03-15,England,MS,3,0,69,Indonesia,Denmark,Anthony Sinisuka Ginting,5,Viktor Axelsen,1,8,21,21,18,21,19,50,58,2,1,4,4,8,9,5,13,1
482,Yonex_All_England_Open,2024-03-17,England,MS,2,0,55,Indonesia,Indonesia,Jonatan Christie,,Anthony Sinisuka Ginting,5,21,15,21,14,0,0,42,29,2,0,2,0,6,3,4,6,1
483,Victor_China_Open,2023-09-07,China,MS,2,0,30,Japan,Hongkong,Kanta Tsuneyama,,Lee Cheuk Yiu,,21,9,21,8,0,0,42,17,2,0,4,0,10,3,6,0,1
484,Yonex_All_England_Open,2024-03-12,England,MS,2,0,33,Denmark,India,Viktor Axelsen,1,Kidambi Srikanth,,21,9,21,9,0,0,42,18,2,0,2,0,6,2,11,3,1
485,Yonex_All_England_Open,2024-03-13,England,MS,2,0,37,Indonesia,Chinesetaipei,Jonatan Christie,,Chou Tien Chen,,21,4,21,15,0,0,42,19,2,0,2,0,8,3,9,7,1
486,Yonex_All_England_Open,2024-03-16,England,MS,3,0,68,Indonesia,India,Jonatan Christie,,Lakshya Sen,,21,12,10,21,21,15,52,48,2,1,5,1,5,7,4,2,1
487,Petronas_Malaysia_Open,2024-01-10,Malaysia,MS,3,0,102,Thailand,Japan,Kunlavut Vitidsarn,5,Kenta Nishimoto,,21,14,21,23,21,15,63,52,2,1,8,1,6,4,5,3,1
488,Yonex_All_England_Open,2024-03-15,England,MS,1,1,23,Indonesia,China,Jonatan Christie,,Shi Yu Qi,2,21,12,0,0,0,0,21,12,1,0,2,0,5,3,8,7,1
489,Petronas_Malaysia_Open,2024-01-11,Malaysia,MS,2,0,67,China,Indonesia,Lu Guang Zu,,Anthony Sinisuka Ginting,4,23,21,25,23,0,0,48,44,2,0,5,3,3,3,1,5,1
490,Yonex_All_England_Open,2024-03-13,England,MS,2,0,44,Denmark,Japan,Anders Antonsen,4,Kanta Tsuneyama,,21,18,21,9,0,0,42,27,2,0,3,0,7,3,7,2,1
491,Petronas_Malaysia_Open,2024-01-11,Malaysia,MS,2,0,38,Hongkong,India,Ng Ka Long Angus,,Kidambi Srikanth,,21,13,21,17,0,0,42,30,2,0,3,0,6,6,4,4,1
492,Victor_China_Open,2023-09-07,China,MS,2,0,53,China,China,Lu Guang Zu,,Li Shi Feng,6,21,19,21,12,0,0,42,31,2,0,4,0,9,4,4,0,1
493,Yonex_All_England_Open,2024-03-13,England,MS,3,0,81,China,Denmark,Shi Yu Qi,2,Rasmus Gemke,,18,21,23,21,21,19,62,61,2,1,4,1,4,5,7,1,1
494,Yonex_All_England_Open,2024-03-12,England,MS,3,0,72,France,Hongkong,Christo Popov,,Lee Cheuk Yiu,,22,20,17,21,21,16,60,57,2,1,4,2,6,6,1,2,1
495,Kapal_Api_Indonesia_Open,2024-06-04,Indonesia,MS,2,0,40,Malaysia,Hongkong,Lee Zii Jia,,Ng Ka Long Angus,,21,17,21,16,0,0,42,33,2,0,2,0,5,4,6,3,1
496,Petronas_Malaysia_Open,2024-01-09,Malaysia,MS,3,0,77,China,Malaysia,Lu Guang Zu,,Lee Zii Jia,,16,21,21,19,21,15,58,55,2,1,2,1,5,5,2,5,1
497,Yonex_All_England_Open,2024-03-12,England,MS,2,0,52,France,China,Toma Junior Popov,,Li Shi Feng,3,21,17,21,13,0,0,42,30,2,0,3,0,5,3,3,1,1
498,Petronas_Malaysia_Open,2024-01-11,Malaysia,MS,3,0,94,Japan,Canada,Kodai Naraoka,2,Brian Yang,,22,20,20,22,21,16,63,58,2,1,6,3,9,6,4,1,1
499,Yonex_All_England_Open,2024-03-14,England,MS,2,0,54,Indonesia,Japan,Anthony Sinisuka Ginting,5,Kenta Nishimoto,,21,18,21,19,0,0,42,37,2,0,4,0,5,7,7,4,1
500,Kapal_Api_Indonesia_Open,2024-06-04,Indonesia,MS,2,0,36,Thailand,Singapore,Kunlavut Vitidsarn,8,Loh Kean Yew,,21,13,21,10,0,0,42,23,2,0,2,0,5,5,5,1,1
501,Yonex_All_England_Open,2024-03-12,England,MS,2,0,39,Indonesia,Chinesetaipei,Anthony Sinisuka Ginting,5,Chia Hao Lee,,21,13,21,17,0,0,42,30,2,0,3,0,8,3,1,0,1
502,Petronas_Malaysia_Open,2024-01-10,Malaysia,MS,2,0,49,China,India,Weng Hong Yang,,Lakshya Sen,,21,15,21,16,0,0,42,31,2,0,2,0,6,4,3,3,1
503,Kapal_Api_Indonesia_Open,2024-06-04,Indonesia,MS,2,0,36,Denmark,Hongkong,Anders Antonsen,4,Lee Cheuk Yiu,,21,14,21,10,0,0,42,24,2,0,5,0,8,3,5,1,1
