,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
1713,Petronas_Malaysia_Open,2023-01-14,Malaysia,WD,2,1,33,China,Indonesia,"Chen Qing Chen, Jia Yi Fan",1.0,"Apriyani Rahayu, Siti Fadia Silva Ramadhanti",,21,9,,,,,21,9,1,0,1,0,6,2,8,1,1
1714,Petronas_Malaysia_Open,2023-01-10,Malaysia,WD,4,0,36,Korea,England,"Jeong Na Eun, Kim Hye Jeong",,"Chloe Birch, Lauren Smith",,21,16,21.0,11.0,,,42,27,2,0,3,0,5,3,1,0,1
1715,Petronas_Malaysia_Open,2023-01-12,Malaysia,WD,4,0,31,China,Indonesia,"Chen Qing Chen, Jia Yi Fan",1.0,"Febriana Dwipuji Kusuma, Amallia Cahaya Pratiwi",,21,7,21.0,9.0,,,42,16,2,0,2,0,10,3,5,0,1
1716,Yonex_All_England_Open,2022-03-16,England,WD,4,0,28,Canada,India,"Rachel Honderich, Kristen Tsai",,"Srivedya Gurazada, Ishika Jaiswal",,21,9,21.0,4.0,,,42,13,2,0,2,0,6,3,1,0,1
1717,Petronas_Malaysia_Open,2023-01-13,Malaysia,MD,6,0,66,India,China,"Satwiksairaj Rankireddy, Chirag Shetty",7.0,"Liu Yu Chen, Ou Xuan Yi",,17,21,22.0,20.0,21.0,9.0,60,50,2,1,4,3,6,6,1,1,1
1718,Petronas_Malaysia_Open,2023-01-14,Malaysia,XD,4,0,43,China,Indonesia,"Zheng Si Wei, Huang Ya Qiong",1.0,"Dejan Ferdinansyah, Gloria Emanuelle Widjaja",,21,16,21.0,18.0,,,42,34,2,0,5,0,7,4,6,0,1
1719,East_Ventures_Indonesia_Open,2022-06-15,Indonesia,WS,4,0,36,Denmark,Belgium,Line Højmark Kjaersfeldt,,Lianne Tan,,21,16,21.0,8.0,,,42,24,2,0,4,0,10,4,5,0,1
1720,East_Ventures_Indonesia_Open,2022-06-16,Indonesia,WS,6,0,58,Chinesetaipei,Usa,Tai Tzu Ying,2.0,Iris Wang,,15,21,21.0,16.0,21.0,9.0,57,46,2,1,6,1,6,5,5,0,1
1721,Petronas_Malaysia_Open,2023-01-11,Malaysia,WD,6,0,57,Singapore,Scotland,"Jin Yu Jia, Wong Jia Ying Crystal",,"Julie Macpherson, Ciara Torrance",,20,22,21.0,14.0,21.0,19.0,62,55,2,1,4,6,5,8,1,0,1
1722,East_Ventures_Indonesia_Open,2022-06-14,Indonesia,WD,4,0,26,Malaysia,Brazil,"Vivian Hoo, Lim Chiew Sien",,"Jaqueline Lima, Samia Lima",,21,10,21.0,5.0,,,42,15,2,0,5,0,11,4,1,0,1
