,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
77,Yonex_All_England_Open,2018-03-15,England,XD,4,0,24,China,India,Wang Yi Lyu,Huang Dong Ping,2,Pranaav Jerry Chopra,Reddy Sikki,0,21,6,21,10,0,0,42,16,2,0,2,0,9,3,2,0,1
78,Victor_China_Open,2018-09-20,China,XD,4,0,40,Denmark,India,Mathias Christiansen,Christinna Pedersen,6,Pranaav Jerry Chopra,Reddy Sikki,0,21,16,21,10,0,0,42,26,2,0,4,0,6,6,2,0,1
79,Victor_China_Open,2018-09-19,China,XD,4,0,27,Thailand,Indonesia,Dechapol Puavaranukroh,Sapsiree Taerattanachai,0,Praveen Jordan,Melati Daeva Oktavianti,0,21,11,21,13,0,0,42,24,2,0,3,0,9,3,8,4,1
80,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,4,0,36,Denmark,Japan,Niclas Nohr,Sara Thygesen,0,Takuro Hoki,Koharu Yonemoto,0,21,19,21,19,0,0,42,38,2,0,3,0,4,5,1,1,1
81,Yonex_All_England_Open,2019-03-09,England,XD,4,0,37,Japan,Malaysia,Yuta Watanabe,Arisa Higashino,3,Goh Soon Huat,Lai Shevon Jemie,0,21,16,21,13,0,0,42,29,2,0,2,0,5,4,4,1,1
82,Yonex_All_England_Open,2019-03-08,England,XD,6,0,64,Malaysia,China,Goh Soon Huat,Lai Shevon Jemie,0,Wang Yi Lyu,Huang Dong Ping,2,13,21,22,20,21,18,56,59,2,1,4,1,4,5,3,3,1
83,Yonex_All_England_Open,2018-03-14,England,XD,4,0,35,China,Korea,Wang Yi Lyu,Huang Dong Ping,2,Choi Sol Gyu,Chae Yu Jung,0,21,15,21,17,0,0,42,32,2,0,3,0,6,5,2,1,1
84,Yonex_All_England_Open,2019-03-07,England,XD,6,0,57,Indonesia,Malaysia,Tontowi Ahmad,Winny Oktavina Kandow,0,Chan Peng Soon,Goh Liu Ying,5,21,15,16,21,23,21,60,57,2,1,5,6,5,5,2,1,1
85,Victor_China_Open,2018-09-19,China,XD,4,0,27,Hongkong,Russia,Tang Chun Man,Tse Ying Suet,4,Rodion Alimov,Alina Davletova,0,21,14,21,19,0,0,42,33,2,0,2,0,4,4,1,1,1
86,Yonex_All_England_Open,2019-03-10,England,XD,4,0,41,China,Japan,Zheng Si Wei,Huang Ya Qiong,1,Yuta Watanabe,Arisa Higashino,3,21,17,22,20,0,0,43,37,2,0,3,1,6,5,15,5,1
87,Victor_China_Open,2018-09-18,China,XD,4,0,30,Denmark,Chinesetaipei,Mathias Christiansen,Christinna Pedersen,6,Wang Chi-Lin,Lee Chia Hsin,0,21,10,21,10,0,0,42,20,2,0,0,0,0,0,2,0,1
88,Victor_China_Open,2018-09-18,China,XD,6,0,52,Japan,Indonesia,Yuta Watanabe,Arisa Higashino,0,Hafiz Faizal,Gloria Emanuelle Widjaja,0,22,20,16,21,21,16,59,57,2,1,3,2,6,4,5,1,1
89,Victor_China_Open,2018-09-20,China,XD,6,0,63,Thailand,England,Dechapol Puavaranukroh,Sapsiree Taerattanachai,0,Chris Adcock,Gabrielle Adcock,8,17,21,25,23,21,16,63,60,2,1,4,3,6,4,5,0,1
90,Victor_China_Open,2018-09-19,China,XD,6,0,54,Indonesia,Malaysia,Ricky Karandasuwardi,Debby Susanto,0,Goh Soon Huat,Lai Shevon Jemie,7,21,15,19,21,21,16,61,52,2,1,3,1,7,4,2,0,1
91,Yonex_All_England_Open,2018-03-14,England,XD,4,0,30,China,England,Zheng Si Wei,Huang Ya Qiong,5,Ben Lane,Jessica Pugh,0,21,14,21,9,0,0,42,23,2,0,2,0,7,3,1,0,1
92,Blibli_Indonesia_Open,2019-07-16,Indonesia,XD,4,0,40,Hongkong,Japan,Tang Chun Man,Tse Ying Suet,8,Takuro Hoki,Wakana Nagahara,0,22,20,21,17,0,0,43,37,2,0,4,1,4,3,1,0,1
93,Yonex_All_England_Open,2019-03-08,England,XD,4,0,35,China,England,Zheng Si Wei,Huang Ya Qiong,1,Chris Adcock,Gabrielle Adcock,6,21,16,21,12,0,0,42,28,2,0,4,0,6,4,5,0,1
94,Blibli_Indonesia_Open,2019-07-18,Indonesia,XD,4,0,37,Malaysia,Hongkong,Tan Kian Meng,Lai Pei Jing,0,Tang Chun Man,Tse Ying Suet,8,21,15,21,14,0,0,42,29,2,0,5,0,5,4,3,7,1
95,Yonex_All_England_Open,2019-03-09,England,XD,6,0,53,China,Indonesia,Zheng Si Wei,Huang Ya Qiong,1,Praveen Jordan,Melati Daeva Oktavianti,0,13,21,22,20,21,13,56,54,2,1,4,4,6,5,11,2,1
96,Blibli_Indonesia_Open,2019-07-16,Indonesia,XD,2,1,7,England,Japan,Chris Adcock,Gabrielle Adcock,0,Yuta Watanabe,Arisa Higashino,3,11,6,0,0,0,0,11,6,1,0,0,0,3,1,1,4,1
97,Blibli_Indonesia_Open,2019-07-19,Indonesia,XD,6,0,60,Malaysia,Indonesia,Chan Peng Soon,Goh Liu Ying,5,Tontowi Ahmad,Winny Oktavina Kandow,0,21,11,14,21,21,14,56,46,2,1,3,1,4,3,1,2,1
98,Yonex_All_England_Open,2019-03-08,England,XD,4,0,46,Japan,Indonesia,Yuta Watanabe,Arisa Higashino,3,Tontowi Ahmad,Winny Oktavina Kandow,0,24,22,21,19,0,0,45,41,2,0,4,4,4,4,1,0,1
99,Yonex_All_England_Open,2019-03-07,England,XD,6,0,65,Japan,China,Yuta Watanabe,Arisa Higashino,3,Lu Kai,Chen Lu,0,21,12,21,23,21,17,63,52,2,1,5,2,6,4,3,1,1
100,Blibli_Indonesia_Open,2019-07-21,Indonesia,XD,4,0,31,China,China,Zheng Si Wei,Huang Ya Qiong,1,Wang Yi Lyu,Huang Dong Ping,2,21,13,21,18,0,0,42,31,2,0,4,0,5,3,16,5,1
101,Blibli_Indonesia_Open,2019-07-17,Indonesia,XD,4,0,28,Indonesia,India,Tontowi Ahmad,Winny Oktavina Kandow,0,Satwiksairaj Rankireddy,Ashwini Ponnappa,0,21,13,21,11,0,0,42,24,2,0,4,0,6,2,1,0,1
102,Yonex_All_England_Open,2019-03-07,England,XD,4,0,29,Indonesia,Germany,Praveen Jordan,Melati Daeva Oktavianti,0,Mark Lamsfuss,Isabel Lohau,0,21,11,21,17,0,0,42,28,2,0,3,0,5,3,2,1,1
103,Blibli_Indonesia_Open,2019-07-18,Indonesia,XD,4,0,34,Indonesia,Thailand,Tontowi Ahmad,Winny Oktavina Kandow,0,Nipitphon Phuangphuapet,Savitree Amitrapai,0,21,14,21,18,0,0,42,32,2,0,5,0,6,3,2,0,1
104,Yonex_All_England_Open,2019-03-07,England,XD,4,0,29,Thailand,Ireland,Dechapol Puavaranukroh,Sapsiree Taerattanachai,4,Sam Magee,Chloe Magee,0,21,9,21,11,0,0,42,20,2,0,3,0,7,2,2,0,1
105,Victor_China_Open,2019-09-17,China,XD,6,0,57,Indonesia,Malaysia,Rinov Rivaldy,Pitha Haningtyas Mentari,0,Tan Kian Meng,Lai Pei Jing,0,21,18,16,21,21,12,58,51,2,1,6,1,5,5,3,5,1
106,Yonex_All_England_Open,2019-03-06,England,XD,4,0,28,Thailand,Japan,Dechapol Puavaranukroh,Sapsiree Taerattanachai,4,Yuki Kaneko,Misaki Matsutomo,0,21,11,21,15,0,0,42,26,2,0,6,0,5,3,6,0,1
