Rank,Country/Territory,Name,Date,Points Accumulated
1,CHN,Jiang Zhen Bang,2024-09-10,"75,340"
2,MAS,Chen Tang Jie,2024-09-10,"64,460"
3,MAS,Goh Soon Huat,2024-09-10,"61,950"
4,KOR,Kim Won Ho,2024-09-10,"61,260"
5,INA,Dejan Ferdinansyah,2024-09-10,"60,890"
6,THA,Dechapol Puavaranukroh,2024-09-10,"59,680"
7,TPE,Yang Po-Hsuan,2024-09-10,"59,120"
8,MAS,Tan Kian Meng,2024-09-10,"58,590"
9,INA,Rehan Naufal Kusharjanto,2024-09-10,"57,220"
10,SGP,Hee Yong Kai Terry,2024-09-10,"56,140"
11,CHN,Zheng Si Wei,2024-09-10,"55,050"
12,JPN,Hiroki Midorikawa,2024-09-10,"49,850"
13,NED,Robin Tabeling,2024-09-10,"49,590"
14,DEN,Mads Vestergaard,2024-09-10,"48,500"
15,INA,Rinov Rivaldy,2024-09-10,"48,180"
16,JPN,Yuta Watanabe,2024-09-10,"46,010"
17,HKG,Tang Chun Man,2024-09-10,"45,950"
18,THA,Ruttanapak Oupthong,2024-09-10,"43,820"
19,CHN,Cheng Xing,2024-09-10,"43,210"
20,THA,Supak Jomkoh,2024-09-10,"42,680"
21,TPE,Ye Hong Wei,2024-09-10,"38,810"
22,IND,Reddy B. Sumeeth,2024-09-10,"38,190"
23,CHN,Feng Yan Zhe,2024-09-10,"37,710"
24,KOR,Seo Seung Jae,2024-09-10,"37,500"
25,JPN,Yuki Kaneko,2024-09-10,"37,340"
26,HKG,Lee Chun Hei Reginald,2024-09-10,"36,960"
27,DEN,Mathias Christiansen,2024-09-10,"34,650"
28,THA,Pakkapon Teeraratsakul,2024-09-10,"32,500"
29,TPE,Chang Ko-Chi,2024-09-10,"31,730"
30,CHN,Guo Xin Wa,2024-09-10,"29,360"
31,IND,Sathish Kumar Karunakaran,2024-09-10,"28,930"
32,MAS,Hoo Pang Ron,2024-09-10,"28,410"
33,USA,Vinson Chiu,2024-09-10,"28,190"
34,TPE,Chen Cheng Kuan,2024-09-10,"27,030"
35,MAS,Choong Hon Jian,2024-09-10,"25,490"
36,INA,Adnan Maulana,2024-09-10,"24,890"
37,DEN,Jesper Toft,2024-09-10,"24,510"
38,JPN,Kyohei Yamashita,2024-09-10,"24,420"
39,FRA,Thom Gicquel,2024-09-10,"23,500"
40,TPE,Wu Hsuan-Yi,2024-09-10,"22,550"
41,MAS,Chan Peng Soon,2024-09-10,"21,410"
42,GER,Jan Colin Voelker,2024-09-10,"20,420"
43,CHN,Zhou Zhi Hong,2024-09-10,"19,800"
44,INA,Jafar Hidayatullah,2024-09-10,"19,450"
45,ENG,Marcus Ellis,2024-09-10,"19,200"
46,USA,Presley Smith,2024-09-10,"19,010"
47,IND,Dhruv Kapila,2024-09-10,"18,720"
48,MAS,Roy King Yap,2024-09-10,"18,510"
49,GER,Mark Lamsfuss,2024-09-10,"18,280"
50,TPE,Lin Bing-Wei,2024-09-10,"17,950"
51,TPE,Ming Che Lu,2024-09-10,"17,460"
52,DEN,Mathias Thyrri,2024-09-10,"17,000"
53,AUS,Kenneth Zhe Hooi Choo,2024-09-10,"16,760"
54,DEN,Jesper Toft,2024-09-10,"15,280"
55,IND,Ashith Surya,2024-09-10,"14,550"
56,GER,Jones Ralfy Jansen,2024-09-10,"14,480"
57,HKG,Lui Chun Wai,2024-09-10,"14,070"
58,ENG,Gregory Mairs,2024-09-10,"13,740"
59,TPE,Chen Zhi Ray,2024-09-10,"13,170"
60,TPE,Lu Chen,2024-09-10,"12,900"
61,TPE,Chiu Hsiang Chieh,2024-09-10,"12,880"
62,TPE,Wei Chun Wei,2024-09-10,"12,820"
63,TPE,Po Li-Wei,2024-09-10,"12,490"
64,CHN,Guo Xin Wa,2024-09-10,"12,480"
65,ISR,Misha Zilberman,2024-09-10,"12,330"
66,USA,Chen Zhi Yi,2024-09-10,"12,330"
67,JPN,Hiroki Nishi,2024-09-10,"12,010"
68,MAS,Wong Tien Ci,2024-09-10,"11,810"
69,CAN,Ty Alexander Lindeman,2024-09-10,"11,320"
70,TPE,Ye Hong Wei,2024-09-10,"9,360"
71,TPE,Chang Ko-Chi,2024-09-10,"9,310"
72,UKR,Oleksii Titov,2024-09-10,"9,270"
73,HKG,Hung Kuei Chun,2024-09-10,"9,140"
74,IND,Kona Tarun,2024-09-10,"8,690"
75,JPN,Yuichi Shimogami,2024-09-10,"8,550"
76,KOR,Ko Sung Hyun,2024-09-10,"8,480"
77,IND,Dingku Singh Konthoujam,2024-09-10,"8,000"
78,USA,Linden Wang,2024-09-10,"7,630"
78,TPE,Cheng Kai Wen,2024-09-10,"7,630"
80,AUS,Kai Chen Teoh,2024-09-10,"7,470"
81,SCO,Alexander Dunn,2024-09-10,"7,450"
82,CHN,Cheng Xing,2024-09-10,"7,200"
83,BRA,Fabricio Farias,2024-09-10,"7,170"
84,TPE,Lai Po Yu,2024-09-10,"7,010"
85,TPE,Liu Kuang Heng,2024-09-10,"6,920"
86,GER,Malik Bourakkadi,2024-09-10,"6,750"
86,BRA,Davi Silva,2024-09-10,"6,750"
88,MAC,Leong Iok Chong,2024-09-10,"6,620"
89,THA,Neuaduang Mangkornloi,2024-09-10,"6,500"
90,ALG,Koceila Mammeri,2024-09-10,"6,340"
91,IND,Rohan Kapoor,2024-09-10,"6,150"
92,DEN,Rasmus Espersen,2024-09-10,"6,090"
93,IND,Venkat Gaurav Prasad,2024-09-10,"5,900"
94,KOR,Wang Chan,2024-09-10,"5,820"
95,GER,Patrick Volkmann,2024-09-10,"5,670"
96,TPE,Chiu Hsiang Chieh,2024-09-10,"5,580"
97,CHN,Zhang Han Yu,2024-09-10,"5,500"
97,INA,Jafar Hidayatullah,2024-09-10,"5,500"
99,IND,Rohan Kapoor,2024-09-10,"5,270"
99,CAN,Jonathan Bing Tsan Lai,2024-09-10,"5,270"
1,CHN,Jiang Zhen Bang,2024-08-27,"71,740"
2,INA,Dejan Ferdinansyah,2024-08-27,"60,890"
3,THA,Dechapol Puavaranukroh,2024-08-27,"59,680"
4,MAS,Goh Soon Huat,2024-08-27,"58,580"
5,INA,Rehan Naufal Kusharjanto,2024-08-27,"55,840"
6,SGP,Hee Yong Kai Terry,2024-08-27,"55,590"
7,MAS,Chen Tang Jie,2024-08-27,"55,260"
8,CHN,Zheng Si Wei,2024-08-27,"55,050"
9,MAS,Tan Kian Meng,2024-08-27,"54,990"
10,KOR,Kim Won Ho,2024-08-27,"54,840"
11,NED,Robin Tabeling,2024-08-27,"49,590"
12,INA,Rinov Rivaldy,2024-08-27,"48,180"
13,TPE,Yang Po-Hsuan,2024-08-27,"48,130"
14,JPN,Hiroki Midorikawa,2024-08-27,"47,630"
15,DEN,Mads Vestergaard,2024-08-27,"46,280"
16,JPN,Yuta Watanabe,2024-08-27,"46,010"
17,HKG,Tang Chun Man,2024-08-27,"45,950"
18,THA,Supak Jomkoh,2024-08-27,"42,680"
19,THA,Ruttanapak Oupthong,2024-08-27,"42,150"
20,IND,Reddy B. Sumeeth,2024-08-27,"38,190"
21,CHN,Feng Yan Zhe,2024-08-27,"37,710"
22,KOR,Seo Seung Jae,2024-08-27,"37,500"
23,JPN,Yuki Kaneko,2024-08-27,"37,340"
24,HKG,Lee Chun Hei Reginald,2024-08-27,"36,960"
25,CHN,Cheng Xing,2024-08-27,"36,790"
26,DEN,Mathias Christiansen,2024-08-27,"34,650"
27,TPE,Ye Hong Wei,2024-08-27,"33,910"
28,TPE,Chang Ko-Chi,2024-08-27,"31,730"
29,CHN,Guo Xin Wa,2024-08-27,"29,360"
30,USA,Vinson Chiu,2024-08-27,"28,190"
31,IND,Sathish Kumar Karunakaran,2024-08-27,"27,260"
32,MAS,Hoo Pang Ron,2024-08-27,"26,190"
33,THA,Pakkapon Teeraratsakul,2024-08-27,"25,500"
34,INA,Adnan Maulana,2024-08-27,"24,890"
35,JPN,Kyohei Yamashita,2024-08-27,"24,420"
36,FRA,Thom Gicquel,2024-08-27,"23,500"
37,MAS,Choong Hon Jian,2024-08-27,"23,270"
38,TPE,Chen Cheng Kuan,2024-08-27,"22,060"
39,MAS,Chan Peng Soon,2024-08-27,"21,410"
40,GER,Jan Colin Voelker,2024-08-27,"20,420"
41,DEN,Jesper Toft,2024-08-27,"19,470"
42,INA,Jafar Hidayatullah,2024-08-27,"19,450"
43,ENG,Marcus Ellis,2024-08-27,"19,200"
44,MAS,Roy King Yap,2024-08-27,"18,510"
45,GER,Mark Lamsfuss,2024-08-27,"18,280"
46,DEN,Mathias Thyrri,2024-08-27,"17,000"
47,USA,Presley Smith,2024-08-27,"16,790"
48,AUS,Kenneth Zhe Hooi Choo,2024-08-27,"16,760"
49,TPE,Wu Hsuan-Yi,2024-08-27,"16,480"
50,CHN,Zhou Zhi Hong,2024-08-27,"16,200"
51,DEN,Jesper Toft,2024-08-27,"15,280"
52,GER,Jones Ralfy Jansen,2024-08-27,"14,480"
53,ENG,Gregory Mairs,2024-08-27,"13,740"
54,IND,Ashith Surya,2024-08-27,"12,880"
55,ISR,Misha Zilberman,2024-08-27,"12,330"
56,JPN,Hiroki Nishi,2024-08-27,"12,010"
57,TPE,Lin Bing-Wei,2024-08-27,"11,880"
58,TPE,Ming Che Lu,2024-08-27,"11,390"
59,HKG,Lui Chun Wai,2024-08-27,"11,320"
59,CAN,Ty Alexander Lindeman,2024-08-27,"11,320"
61,TPE,Lu Chen,2024-08-27,"11,230"
62,TPE,Wei Chun Wei,2024-08-27,"11,150"
63,IND,Dhruv Kapila,2024-08-27,"11,020"
64,USA,Chen Zhi Yi,2024-08-27,"10,110"
65,TPE,Po Li-Wei,2024-08-27,"9,740"
66,TPE,Chen Zhi Ray,2024-08-27,"9,280"
67,IND,Kona Tarun,2024-08-27,"8,690"
68,UKR,Oleksii Titov,2024-08-27,"7,980"
69,TPE,Chiu Hsiang Chieh,2024-08-27,"7,910"
70,USA,Linden Wang,2024-08-27,"7,630"
71,HKG,Hung Kuei Chun,2024-08-27,"7,470"
72,SCO,Alexander Dunn,2024-08-27,"7,450"
73,CHN,Cheng Xing,2024-08-27,"7,200"
74,IND,Dingku Singh Konthoujam,2024-08-27,"7,180"
75,BRA,Fabricio Farias,2024-08-27,"7,170"
76,BRA,Davi Silva,2024-08-27,"6,750"
76,GER,Malik Bourakkadi,2024-08-27,"6,750"
78,TPE,Chang Ko-Chi,2024-08-27,"6,560"
79,MAS,Wong Tien Ci,2024-08-27,"6,540"
80,ALG,Koceila Mammeri,2024-08-27,"6,340"
81,AUS,Kai Chen Teoh,2024-08-27,"6,180"
82,IND,Rohan Kapoor,2024-08-27,"6,150"
83,DEN,Rasmus Espersen,2024-08-27,"6,090"
84,TPE,Cheng Kai Wen,2024-08-27,"5,960"
85,IND,Venkat Gaurav Prasad,2024-08-27,"5,900"
86,KOR,Wang Chan,2024-08-27,"5,820"
87,GER,Patrick Volkmann,2024-08-27,"5,670"
88,TPE,Chiu Hsiang Chieh,2024-08-27,"5,580"
89,CHN,Zhang Han Yu,2024-08-27,"5,500"
90,CAN,Jonathan Bing Tsan Lai,2024-08-27,"5,270"
90,IND,Rohan Kapoor,2024-08-27,"5,270"
92,INA,Amri Syahnawi,2024-08-27,"5,140"
93,IND,Nitin Kumar,2024-08-27,"5,100"
94,USA,Joshua Yuan,2024-08-27,"5,040"
95,KOR,Ko Sung Hyun,2024-08-27,"4,880"
96,CHN,Guo Xin Wa,2024-08-27,"4,680"
96,CHN,Zhu Yi Jun,2024-08-27,"4,680"
98,TPE,Chen Sheng Fa,2024-08-27,"4,660"
99,KOR,Kim Young Hyuk,2024-08-27,"4,440"
100,SCO,Adam Hall,2024-08-27,"4,420"
1,CHN,Jiang Zhen Bang,2024-09-03,"75,340"
2,MAS,Chen Tang Jie,2024-09-03,"64,460"
3,MAS,Goh Soon Huat,2024-09-03,"61,950"
4,KOR,Kim Won Ho,2024-09-03,"61,260"
5,INA,Dejan Ferdinansyah,2024-09-03,"60,890"
6,THA,Dechapol Puavaranukroh,2024-09-03,"59,680"
7,MAS,Tan Kian Meng,2024-09-03,"58,590"
8,INA,Rehan Naufal Kusharjanto,2024-09-03,"57,220"
9,SGP,Hee Yong Kai Terry,2024-09-03,"56,140"
10,CHN,Zheng Si Wei,2024-09-03,"55,050"
11,TPE,Yang Po-Hsuan,2024-09-03,"53,170"
12,JPN,Hiroki Midorikawa,2024-09-03,"49,850"
13,NED,Robin Tabeling,2024-09-03,"49,590"
14,DEN,Mads Vestergaard,2024-09-03,"48,500"
15,INA,Rinov Rivaldy,2024-09-03,"48,180"
16,JPN,Yuta Watanabe,2024-09-03,"46,010"
17,HKG,Tang Chun Man,2024-09-03,"45,950"
18,CHN,Cheng Xing,2024-09-03,"43,210"
19,THA,Supak Jomkoh,2024-09-03,"42,680"
20,THA,Ruttanapak Oupthong,2024-09-03,"42,150"
21,IND,Reddy B. Sumeeth,2024-09-03,"38,190"
22,CHN,Feng Yan Zhe,2024-09-03,"37,710"
23,KOR,Seo Seung Jae,2024-09-03,"37,500"
24,JPN,Yuki Kaneko,2024-09-03,"37,340"
25,HKG,Lee Chun Hei Reginald,2024-09-03,"36,960"
26,DEN,Mathias Christiansen,2024-09-03,"34,650"
27,TPE,Ye Hong Wei,2024-09-03,"33,910"
28,TPE,Chang Ko-Chi,2024-09-03,"31,730"
29,CHN,Guo Xin Wa,2024-09-03,"29,360"
30,MAS,Hoo Pang Ron,2024-09-03,"28,410"
31,USA,Vinson Chiu,2024-09-03,"28,190"
32,IND,Sathish Kumar Karunakaran,2024-09-03,"27,260"
33,THA,Pakkapon Teeraratsakul,2024-09-03,"25,500"
34,MAS,Choong Hon Jian,2024-09-03,"25,490"
35,INA,Adnan Maulana,2024-09-03,"24,890"
36,DEN,Jesper Toft,2024-09-03,"24,510"
37,JPN,Kyohei Yamashita,2024-09-03,"24,420"
38,TPE,Chen Cheng Kuan,2024-09-03,"24,280"
39,FRA,Thom Gicquel,2024-09-03,"23,500"
40,MAS,Chan Peng Soon,2024-09-03,"21,410"
41,GER,Jan Colin Voelker,2024-09-03,"20,420"
42,CHN,Zhou Zhi Hong,2024-09-03,"19,800"
43,INA,Jafar Hidayatullah,2024-09-03,"19,450"
44,ENG,Marcus Ellis,2024-09-03,"19,200"
45,USA,Presley Smith,2024-09-03,"19,010"
46,TPE,Wu Hsuan-Yi,2024-09-03,"18,700"
47,MAS,Roy King Yap,2024-09-03,"18,510"
48,GER,Mark Lamsfuss,2024-09-03,"18,280"
49,DEN,Mathias Thyrri,2024-09-03,"17,000"
50,AUS,Kenneth Zhe Hooi Choo,2024-09-03,"16,760"
51,DEN,Jesper Toft,2024-09-03,"15,280"
52,IND,Dhruv Kapila,2024-09-03,"14,870"
53,GER,Jones Ralfy Jansen,2024-09-03,"14,480"
54,TPE,Lin Bing-Wei,2024-09-03,"14,100"
55,ENG,Gregory Mairs,2024-09-03,"13,740"
56,TPE,Ming Che Lu,2024-09-03,"13,610"
57,IND,Ashith Surya,2024-09-03,"12,880"
58,CHN,Guo Xin Wa,2024-09-03,"12,480"
59,ISR,Misha Zilberman,2024-09-03,"12,330"
60,USA,Chen Zhi Yi,2024-09-03,"12,330"
61,JPN,Hiroki Nishi,2024-09-03,"12,010"
62,TPE,Chen Zhi Ray,2024-09-03,"11,500"
63,CAN,Ty Alexander Lindeman,2024-09-03,"11,320"
63,HKG,Lui Chun Wai,2024-09-03,"11,320"
65,TPE,Lu Chen,2024-09-03,"11,230"
66,TPE,Wei Chun Wei,2024-09-03,"11,150"
67,MAS,Wong Tien Ci,2024-09-03,"10,140"
68,TPE,Chiu Hsiang Chieh,2024-09-03,"10,130"
69,TPE,Po Li-Wei,2024-09-03,"9,740"
70,TPE,Ye Hong Wei,2024-09-03,"9,360"
71,UKR,Oleksii Titov,2024-09-03,"9,270"
72,IND,Kona Tarun,2024-09-03,"8,690"
73,KOR,Ko Sung Hyun,2024-09-03,"8,480"
74,IND,Dingku Singh Konthoujam,2024-09-03,"8,000"
75,USA,Linden Wang,2024-09-03,"7,630"
76,AUS,Kai Chen Teoh,2024-09-03,"7,470"
77,HKG,Hung Kuei Chun,2024-09-03,"7,470"
78,SCO,Alexander Dunn,2024-09-03,"7,450"
79,CHN,Cheng Xing,2024-09-03,"7,200"
80,BRA,Fabricio Farias,2024-09-03,"7,170"
81,JPN,Yuichi Shimogami,2024-09-03,"6,880"
82,BRA,Davi Silva,2024-09-03,"6,750"
82,GER,Malik Bourakkadi,2024-09-03,"6,750"
84,TPE,Chang Ko-Chi,2024-09-03,"6,560"
85,THA,Neuaduang Mangkornloi,2024-09-03,"6,500"
86,ALG,Koceila Mammeri,2024-09-03,"6,340"
87,TPE,Liu Kuang Heng,2024-09-03,"6,260"
88,IND,Rohan Kapoor,2024-09-03,"6,150"
89,DEN,Rasmus Espersen,2024-09-03,"6,090"
90,TPE,Cheng Kai Wen,2024-09-03,"5,960"
91,IND,Venkat Gaurav Prasad,2024-09-03,"5,900"
92,KOR,Wang Chan,2024-09-03,"5,820"
93,GER,Patrick Volkmann,2024-09-03,"5,670"
94,TPE,Chiu Hsiang Chieh,2024-09-03,"5,580"
95,INA,Jafar Hidayatullah,2024-09-03,"5,500"
95,CHN,Zhang Han Yu,2024-09-03,"5,500"
97,IND,Rohan Kapoor,2024-09-03,"5,270"
97,CAN,Jonathan Bing Tsan Lai,2024-09-03,"5,270"
99,INA,Amri Syahnawi,2024-09-03,"5,140"
100,IND,Nitin Kumar,2024-09-03,"5,100"
1,CHN,Jiang Zhen Bang,2024-08-13,"60,740"
2,INA,Dejan Ferdinansyah,2024-08-13,"60,450"
3,THA,Dechapol Puavaranukroh,2024-08-13,"59,680"
4,MAS,Goh Soon Huat,2024-08-13,"55,920"
5,CHN,Zheng Si Wei,2024-08-13,"55,050"
6,SGP,Hee Yong Kai Terry,2024-08-13,"54,600"
7,KOR,Kim Won Ho,2024-08-13,"52,180"
8,INA,Rehan Naufal Kusharjanto,2024-08-13,"51,520"
9,NED,Robin Tabeling,2024-08-13,"49,590"
10,MAS,Chen Tang Jie,2024-08-13,"49,210"
11,MAS,Tan Kian Meng,2024-08-13,"48,940"
12,INA,Rinov Rivaldy,2024-08-13,"48,180"
13,JPN,Hiroki Midorikawa,2024-08-13,"43,310"
14,DEN,Mads Vestergaard,2024-08-13,"41,960"
15,TPE,Yang Po-Hsuan,2024-08-13,"40,430"
16,JPN,Yuta Watanabe,2024-08-13,"39,960"
17,THA,Ruttanapak Oupthong,2024-08-13,"37,830"
18,CHN,Feng Yan Zhe,2024-08-13,"37,710"
19,KOR,Seo Seung Jae,2024-08-13,"37,500"
20,HKG,Lee Chun Hei Reginald,2024-08-13,"36,960"
21,THA,Supak Jomkoh,2024-08-13,"36,630"
22,HKG,Tang Chun Man,2024-08-13,"36,600"
23,IND,Reddy B. Sumeeth,2024-08-13,"35,530"
24,JPN,Yuki Kaneko,2024-08-13,"34,680"
25,DEN,Mathias Christiansen,2024-08-13,"34,650"
26,TPE,Ye Hong Wei,2024-08-13,"33,910"
27,TPE,Chang Ko-Chi,2024-08-13,"31,730"
28,CHN,Guo Xin Wa,2024-08-13,"29,360"
29,CHN,Cheng Xing,2024-08-13,"29,090"
30,USA,Vinson Chiu,2024-08-13,"28,190"
31,MAS,Hoo Pang Ron,2024-08-13,"26,190"
32,INA,Adnan Maulana,2024-08-13,"24,890"
33,IND,Sathish Kumar Karunakaran,2024-08-13,"24,600"
34,JPN,Kyohei Yamashita,2024-08-13,"24,420"
35,FRA,Thom Gicquel,2024-08-13,"23,500"
36,MAS,Choong Hon Jian,2024-08-13,"23,270"
37,MAS,Chan Peng Soon,2024-08-13,"21,410"
38,THA,Pakkapon Teeraratsakul,2024-08-13,"21,180"
39,INA,Jafar Hidayatullah,2024-08-13,"19,450"
40,ENG,Marcus Ellis,2024-08-13,"19,200"
41,MAS,Roy King Yap,2024-08-13,"18,510"
42,GER,Mark Lamsfuss,2024-08-13,"18,280"
43,GER,Jan Colin Voelker,2024-08-13,"17,760"
44,TPE,Chen Cheng Kuan,2024-08-13,"17,740"
45,DEN,Mathias Thyrri,2024-08-13,"17,000"
46,AUS,Kenneth Zhe Hooi Choo,2024-08-13,"16,760"
47,CHN,Zhou Zhi Hong,2024-08-13,"16,200"
48,DEN,Jesper Toft,2024-08-13,"15,280"
49,DEN,Jesper Toft,2024-08-13,"15,150"
50,GER,Jones Ralfy Jansen,2024-08-13,"14,480"
51,USA,Presley Smith,2024-08-13,"14,130"
52,TPE,Wu Hsuan-Yi,2024-08-13,"13,820"
53,ENG,Gregory Mairs,2024-08-13,"13,740"
54,IND,Ashith Surya,2024-08-13,"12,880"
55,ISR,Misha Zilberman,2024-08-13,"12,330"
56,TPE,Ming Che Lu,2024-08-13,"11,390"
57,CAN,Ty Alexander Lindeman,2024-08-13,"11,320"
57,HKG,Lui Chun Wai,2024-08-13,"11,320"
59,TPE,Lu Chen,2024-08-13,"11,230"
60,TPE,Wei Chun Wei,2024-08-13,"11,150"
61,IND,Dhruv Kapila,2024-08-13,"11,020"
62,TPE,Po Li-Wei,2024-08-13,"9,740"
63,JPN,Hiroki Nishi,2024-08-13,"9,350"
64,TPE,Chen Zhi Ray,2024-08-13,"9,280"
65,TPE,Lin Bing-Wei,2024-08-13,"9,220"
66,IND,Kona Tarun,2024-08-13,"8,690"
67,UKR,Oleksii Titov,2024-08-13,"7,980"
68,HKG,Hung Kuei Chun,2024-08-13,"7,470"
69,USA,Chen Zhi Yi,2024-08-13,"7,450"
69,SCO,Alexander Dunn,2024-08-13,"7,450"
71,CHN,Cheng Xing,2024-08-13,"7,200"
72,IND,Dingku Singh Konthoujam,2024-08-13,"7,180"
73,BRA,Fabricio Farias,2024-08-13,"7,170"
74,BRA,Davi Silva,2024-08-13,"6,750"
74,GER,Malik Bourakkadi,2024-08-13,"6,750"
76,TPE,Chang Ko-Chi,2024-08-13,"6,560"
77,MAS,Wong Tien Ci,2024-08-13,"6,540"
78,ALG,Koceila Mammeri,2024-08-13,"6,340"
79,AUS,Kai Chen Teoh,2024-08-13,"6,180"
80,IND,Rohan Kapoor,2024-08-13,"6,150"
81,DEN,Rasmus Espersen,2024-08-13,"6,090"
82,TPE,Cheng Kai Wen,2024-08-13,"5,960"
83,IND,Venkat Gaurav Prasad,2024-08-13,"5,900"
84,KOR,Wang Chan,2024-08-13,"5,820"
85,GER,Patrick Volkmann,2024-08-13,"5,670"
86,TPE,Chiu Hsiang Chieh,2024-08-13,"5,580"
87,CHN,Zhang Han Yu,2024-08-13,"5,500"
88,IND,Rohan Kapoor,2024-08-13,"5,270"
88,CAN,Jonathan Bing Tsan Lai,2024-08-13,"5,270"
90,TPE,Chiu Hsiang Chieh,2024-08-13,"5,250"
91,INA,Amri Syahnawi,2024-08-13,"5,140"
92,IND,Nitin Kumar,2024-08-13,"5,100"
93,USA,Joshua Yuan,2024-08-13,"5,040"
94,USA,Linden Wang,2024-08-13,"4,970"
95,KOR,Ko Sung Hyun,2024-08-13,"4,880"
96,CHN,Guo Xin Wa,2024-08-13,"4,680"
96,CHN,Zhu Yi Jun,2024-08-13,"4,680"
98,TPE,Chen Sheng Fa,2024-08-13,"4,660"
99,KOR,Kim Young Hyuk,2024-08-13,"4,440"
100,ESP,Ruben Garcia,2024-08-13,"4,420"
1,INA,Dejan Ferdinansyah,2024-06-11,"59,900"
2,THA,Dechapol Puavaranukroh,2024-06-11,"59,680"
3,MAS,Goh Soon Huat,2024-06-11,"55,920"
4,CHN,Zheng Si Wei,2024-06-11,"55,050"
5,KOR,Kim Won Ho,2024-06-11,"52,180"
6,CHN,Jiang Zhen Bang,2024-06-11,"51,540"
7,SGP,Hee Yong Kai Terry,2024-06-11,"51,230"
8,NED,Robin Tabeling,2024-06-11,"49,590"
9,INA,Rehan Naufal Kusharjanto,2024-06-11,"49,300"
10,MAS,Chen Tang Jie,2024-06-11,"49,210"
11,INA,Rinov Rivaldy,2024-06-11,"48,180"
12,MAS,Tan Kian Meng,2024-06-11,"42,520"
13,DEN,Mads Vestergaard,2024-06-11,"41,960"
14,JPN,Yuta Watanabe,2024-06-11,"39,960"
15,JPN,Hiroki Midorikawa,2024-06-11,"39,460"
16,CHN,Feng Yan Zhe,2024-06-11,"37,710"
17,KOR,Seo Seung Jae,2024-06-11,"37,500"
18,THA,Supak Jomkoh,2024-06-11,"36,630"
19,TPE,Yang Po-Hsuan,2024-06-11,"35,750"
20,JPN,Yuki Kaneko,2024-06-11,"34,680"
21,TPE,Ye Hong Wei,2024-06-11,"33,910"
22,THA,Ruttanapak Oupthong,2024-06-11,"32,330"
23,HKG,Lee Chun Hei Reginald,2024-06-11,"31,920"
24,TPE,Chang Ko-Chi,2024-06-11,"31,730"
25,IND,Reddy B. Sumeeth,2024-06-11,"30,490"
26,HKG,Tang Chun Man,2024-06-11,"30,180"
27,CHN,Cheng Xing,2024-06-11,"29,090"
28,DEN,Mathias Christiansen,2024-06-11,"26,850"
29,INA,Adnan Maulana,2024-06-11,"24,890"
30,JPN,Kyohei Yamashita,2024-06-11,"24,420"
31,FRA,Thom Gicquel,2024-06-11,"23,500"
32,USA,Vinson Chiu,2024-06-11,"23,220"
33,MAS,Hoo Pang Ron,2024-06-11,"22,590"
34,IND,Sathish Kumar Karunakaran,2024-06-11,"21,570"
35,CHN,Guo Xin Wa,2024-06-11,"21,560"
36,MAS,Chan Peng Soon,2024-06-11,"21,410"
37,ENG,Marcus Ellis,2024-06-11,"19,200"
38,GER,Mark Lamsfuss,2024-06-11,"18,280"
39,MAS,Choong Hon Jian,2024-06-11,"18,230"
40,DEN,Mathias Thyrri,2024-06-11,"17,000"
41,AUS,Kenneth Zhe Hooi Choo,2024-06-11,"16,760"
42,INA,Jafar Hidayatullah,2024-06-11,"15,850"
43,DEN,Jesper Toft,2024-06-11,"15,280"
44,MAS,Roy King Yap,2024-06-11,"14,910"
45,ENG,Gregory Mairs,2024-06-11,"13,740"
46,IND,Ashith Surya,2024-06-11,"12,880"
47,TPE,Wu Hsuan-Yi,2024-06-11,"11,710"
48,CAN,Ty Alexander Lindeman,2024-06-11,"11,320"
49,IND,Dhruv Kapila,2024-06-11,"11,020"
50,TPE,Chen Cheng Kuan,2024-06-11,"10,030"
51,CHN,Zhou Zhi Hong,2024-06-11,"9,940"
52,TPE,Wei Chun Wei,2024-06-11,"9,860"
53,JPN,Hiroki Nishi,2024-06-11,"9,350"
54,GER,Jan Colin Voelker,2024-06-11,"9,260"
55,THA,Pakkapon Teeraratsakul,2024-06-11,"9,140"
56,USA,Presley Smith,2024-06-11,"7,420"
57,CHN,Cheng Xing,2024-06-11,"7,200"
58,TPE,Chen Zhi Ray,2024-06-11,"7,170"
59,TPE,Lin Bing-Wei,2024-06-11,"7,110"
60,GER,Jones Ralfy Jansen,2024-06-11,"7,030"
61,GER,Malik Bourakkadi,2024-06-11,"6,750"
62,ALG,Koceila Mammeri,2024-06-11,"6,340"
63,ISR,Misha Zilberman,2024-06-11,"6,220"
64,IND,Rohan Kapoor,2024-06-11,"6,150"
65,DEN,Rasmus Espersen,2024-06-11,"6,090"
66,IND,Venkat Gaurav Prasad,2024-06-11,"5,900"
67,TPE,Po Li-Wei,2024-06-11,"5,890"
68,KOR,Wang Chan,2024-06-11,"5,820"
69,UKR,Oleksii Titov,2024-06-11,"5,760"
70,GER,Patrick Volkmann,2024-06-11,"5,670"
71,TPE,Chiu Hsiang Chieh,2024-06-11,"5,580"
72,INA,Amri Syahnawi,2024-06-11,"5,140"
73,IND,Nitin Kumar,2024-06-11,"5,100"
74,IND,Dingku Singh Konthoujam,2024-06-11,"5,070"
75,KOR,Ko Sung Hyun,2024-06-11,"4,880"
76,CHN,Guo Xin Wa,2024-06-11,"4,680"
