,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
305,East_Ventures_Indonesia_Open,2022-06-14,Indonesia,MD,4,0,40,Indonesia,France,Leo Rolly Carnando,Daniel Marthin,0,Fabien Delrue,William Villeger,0,21,16,21,17,0,0,42,33,2,0,2,0,5,3,2,0,1
306,East_Ventures_Indonesia_Open,2022-06-16,Indonesia,MD,6,0,76,Denmark,Indonesia,Kim Astrup,Anders Skaarup Rasmussen,8,Leo Rolly Carnando,Daniel Marthin,0,21,18,16,21,21,15,58,54,2,1,3,3,5,5,5,4,1
307,Yonex_All_England_Open,2021-03-17,England,MD,4,0,45,Denmark,Denmark,Jeppe Bay,Lasse Mølhede,0,Joel Eipe,Rasmus Kjær,0,27,25,21,11,0,0,48,36,2,0,0,0,0,0,1,0,1
308,Yonex_All_England_Open,2020-03-11,England,MD,6,0,64,Chinesetaipei,Denmark,Lu Ching Yao,Yang Po Han,0,Kim Astrup,Anders Skaarup Rasmussen,0,22,20,14,21,21,16,57,57,2,1,3,2,6,4,3,6,1
309,Yonex_All_England_Open,2022-03-17,England,MD,6,0,67,Indonesia,China,Leo Rolly Carnando,Daniel Marthin,0,Liu Yu Chen,Zhou Hao Dong,0,20,22,24,22,21,16,65,60,2,1,6,4,5,6,1,0,1
310,East_Ventures_Indonesia_Open,2022-06-14,Indonesia,MD,4,0,47,Japan,Germany,Akira Koga,Taichi Saito,0,Mark Lamsfuss,Marvin Seidel,0,21,18,22,20,0,0,43,38,2,0,4,0,4,4,2,0,1
311,East_Ventures_Indonesia_Open,2022-06-15,Indonesia,MD,4,0,39,Indonesia,Scotland,Muhammad Shohibul Fikri,Bagas Maulana,0,Alexander Dunn,Adam Hall,0,21,16,21,16,0,0,42,32,2,0,2,0,5,2,4,2,1
312,East_Ventures_Indonesia_Open,2022-06-14,Indonesia,MD,4,0,35,Korea,Indonesia,Kang Min Hyuk,Seo Seung Jae,0,Sabar Karyaman Gutama,Moh Reza Pahlevi Isfahani,0,21,13,21,11,0,0,42,24,2,0,2,0,6,2,1,0,1
313,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,4,0,47,Korea,Chinesetaipei,Kang Min Hyuk,Seo Seung Jae,0,Lee Yang,Wang Chi-Lin,0,21,18,21,17,0,0,42,35,2,0,4,0,10,4,4,1,1
314,East_Ventures_Indonesia_Open,2022-06-16,Indonesia,MD,6,0,60,Japan,Malaysia,Takuro Hoki,Yugo Kobayashi,3,Ong Yew Sin,Teo Ee Yi,0,21,11,14,21,21,19,56,51,2,1,3,1,5,3,8,1,1
315,Yonex_All_England_Open,2021-03-17,England,MD,4,0,26,Japan,England,Hiroyuki Endo,Yuta Watanabe,4,Rory Easton,Zach Russ,0,21,4,21,9,0,0,42,13,2,0,3,0,7,2,1,0,1
316,East_Ventures_Indonesia_Open,2022-06-16,Indonesia,MD,6,0,49,Indonesia,Indonesia,Fajar Alfian,Muhammad Rian Ardianto,6,Muhammad Shohibul Fikri,Bagas Maulana,0,21,10,10,21,21,15,52,46,2,1,5,2,6,5,7,2,1
317,Petronas_Malaysia_Open,2023-01-10,Malaysia,MD,4,0,28,Indonesia,Korea,Pramudya Kusumawardana,Yeremia Erich Yoche Yacob Rambitan,0,Ko Sung Hyun,Shin Baek Cheol,0,21,12,21,17,0,0,42,29,2,0,4,0,7,4,1,0,1
318,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,4,0,41,China,Malaysia,Liu Yu Chen,Ou Xuan Yi,0,Aaron Chia,Soh Wooi Yik,4,21,10,23,21,0,0,44,31,2,0,5,0,6,8,4,3,1
319,Petronas_Malaysia_Open,2023-01-11,Malaysia,MD,4,0,44,India,Korea,Satwiksairaj Rankireddy,Chirag Shetty,7,Choi Sol Gyu,Kim Won Ho,0,21,16,21,13,0,0,42,29,2,0,4,0,3,3,2,0,1
320,Yonex_All_England_Open,2021-03-17,England,MD,6,0,53,England,Denmark,Callum Hemming,Steven Stallwood,0,Daniel Lundgaard,Mathias Thyrri,0,16,21,21,18,21,17,58,56,2,1,3,1,4,4,1,0,1
321,Yonex_All_England_Open,2022-03-17,England,MD,4,0,35,China,Malaysia,He Ji Ting,Tan Qiang,0,Aaron Chia,Soh Wooi Yik,4,21,15,21,19,0,0,42,34,2,0,4,0,8,4,2,0,1
322,Yonex_All_England_Open,2022-03-16,England,MD,4,0,38,Indonesia,Indonesia,Leo Rolly Carnando,Daniel Marthin,0,Fajar Alfian,Muhammad Rian Ardianto,6,21,16,22,20,0,0,43,36,2,0,2,3,5,4,5,1,1
323,Petronas_Malaysia_Open,2023-01-11,Malaysia,MD,4,0,38,China,England,Liu Yu Chen,Ou Xuan Yi,0,Ben Lane,Sean Vendy,0,21,19,24,22,0,0,45,41,2,0,3,5,4,6,4,0,1
324,Yonex_All_England_Open,2022-03-16,England,MD,4,0,37,China,Thailand,Liu Yu Chen,Zhou Hao Dong,0,Supak Jomkoh,Kittinupong Kedren,0,21,15,21,12,0,0,42,27,2,0,5,0,6,4,1,0,1
325,Yonex_All_England_Open,2020-03-11,England,MD,6,0,53,Indonesia,Japan,Mohammad Ahsan,Hendra Setiawan,2,Akira Koga,Taichi Saito,0,12,21,21,13,25,23,58,57,2,1,0,0,0,0,3,0,1
326,Petronas_Malaysia_Open,2023-01-10,Malaysia,MD,6,0,40,Indonesia,China,Mohammad Ahsan,Hendra Setiawan,5,He Ji Ting,Zhou Hao Dong,0,19,21,21,8,21,13,61,42,2,1,2,3,7,8,3,0,1
327,Yonex_All_England_Open,2021-03-17,England,MD,4,0,42,Denmark,Malaysia,Mathias Christiansen,Niclas Nohr,0,Low Hang Yee,Ng Eng Cheong,0,21,16,21,19,0,0,42,35,2,0,3,0,4,5,1,0,1
328,Petronas_Malaysia_Open,2023-01-11,Malaysia,MD,4,0,34,Denmark,Japan,Kim Astrup,Anders Skaarup Rasmussen,6,Keiichiro Matsui,Yoshinori Takeuchi,0,21,13,21,10,0,0,42,23,2,0,6,0,6,3,5,0,1
329,Yonex_All_England_Open,2022-03-16,England,MD,4,0,45,Japan,France,Keiichiro Matsui,Yoshinori Takeuchi,0,Fabien Delrue,William Villeger,0,21,18,21,11,0,0,42,29,2,0,4,0,7,3,2,0,1
330,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,6,0,85,Malaysia,Chinesetaipei,Ong Yew Sin,Teo Ee Yi,8,Lu Ching Yao,Yang Po Han,0,17,21,21,13,21,14,59,48,2,1,2,1,4,7,6,3,1
331,East_Ventures_Indonesia_Open,2022-06-15,Indonesia,MD,6,0,83,India,Japan,M.R. Arjun,Dhruv Kapila,0,Keiichiro Matsui,Yoshinori Takeuchi,0,27,25,18,21,21,19,66,65,2,1,5,5,5,6,1,1,1
332,Yonex_All_England_Open,2020-03-11,England,MD,4,0,25,Malaysia,Malaysia,Aaron Chia,Soh Wooi Yik,8,Goh Sze Fei,Nur Izzuddin,0,21,15,21,17,0,0,42,32,2,0,0,0,0,0,6,3,1
333,Petronas_Malaysia_Open,2023-01-11,Malaysia,MD,4,0,33,Indonesia,Malaysia,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,2,Man Wei Chong,Kai Wun Tee,0,21,18,23,21,0,0,44,39,2,0,4,1,4,3,2,0,1
334,Petronas_Malaysia_Open,2023-01-13,Malaysia,MD,6,0,54,Korea,Indonesia,Kang Min Hyuk,Seo Seung Jae,0,Mohammad Ahsan,Hendra Setiawan,5,21,13,19,21,21,11,61,45,2,1,6,1,6,6,5,2,1
335,East_Ventures_Indonesia_Open,2022-06-15,Indonesia,MD,6,0,59,Netherlands,France,Ruben Jille,Ties Van Der Lecq,0,Christo Popov,Toma Junior Popov,0,18,21,21,17,21,15,60,53,2,1,2,2,4,5,3,3,1
336,Yonex_All_England_Open,2022-03-16,England,MD,4,0,38,India,Scotland,Satwiksairaj Rankireddy,Chirag Shetty,5,Alexander Dunn,Adam Hall,0,21,17,21,19,0,0,42,36,2,0,2,0,4,5,2,1,1
337,East_Ventures_Indonesia_Open,2022-06-16,Indonesia,MD,4,0,41,China,India,Liu Yu Chen,Ou Xuan Yi,0,M.R. Arjun,Dhruv Kapila,0,21,19,21,15,0,0,42,34,2,0,4,0,7,8,3,0,1
338,Petronas_Malaysia_Open,2023-01-13,Malaysia,MD,4,0,45,China,Denmark,Liang Wei Keng,Wang Chang,0,Kim Astrup,Anders Skaarup Rasmussen,6,22,20,23,21,0,0,45,41,2,0,5,1,5,4,3,1,1
339,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,4,0,29,Indonesia,Indonesia,Mohammad Ahsan,Hendra Setiawan,5,Pramudya Kusumawardana,Yeremia Erich Yoche Yacob Rambitan,0,21,19,21,17,0,0,42,36,2,0,3,0,5,4,5,1,1
340,Yonex_All_England_Open,2020-03-11,England,MD,6,0,40,Indonesia,Canada,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,1,Jason Anthony Ho-Shue,Nyl Yakura,0,21,18,20,22,21,14,62,54,2,1,0,0,0,0,1,0,1
341,Yonex_All_England_Open,2022-03-16,England,MD,4,0,37,Germany,India,Mark Lamsfuss,Marvin Seidel,0,Krishna Prasad Garaga,Vishnuvardhan Goud Panjala,0,21,16,21,19,0,0,42,35,2,0,2,0,5,5,1,0,1
